outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,loss_diff_scaled,var_diff_scaled,skew_diff_scaled
80,58,-25,121,27,-8,37.666666666666664,46.666666666666664,-9.0,45.213075788119326,54.46915538989832,-9.256079601778993,-25,-8,-17,-0.58,0.49,-1.0699999999999998,-0.5063339430300395,-0.30676040733990667,-1.1383024327373545
138,89,-19,179,60,-4,69.33333333333333,78.33333333333333,-9.0,65.5862451704285,75.825823804002,-10.239578633573501,-19,-4,-15,-0.42,0.35,-0.77,-0.2990627382809006,-0.46635358542162914,-0.28728064173431295
44,42,-27,71,28,-13,19.666666666666668,28.666666666666668,-9.0,33.00841643513902,34.29609631171195,-1.2876798765729305,-27,-13,-14,-0.71,0.03,-0.74,-0.1954271359063311,0.9862782182810995,-0.20217846263400868
131,107,-39,185,66,-25,66.33333333333333,75.33333333333333,-9.0,75.12360185424788,85.98578693921196,-10.862185084964082,-39,-25,-14,-0.65,0.16,-0.81,-0.1954271359063311,-0.5673844345220151,-0.40075021386805204
108,49,-98,148,22,-84,19.666666666666668,28.666666666666668,-9.0,86.61921778040303,94.83084355255356,-8.211625772150526,-98,-84,-14,-0.47,0.11,-0.58,-0.1954271359063311,-0.13727604523952722,0.25169982590094725
92,77,-64,138,38,-44,35.0,44.0,-9.0,70.27090436304346,74.4222189044822,-4.151314541438737,-64,-44,-20,-0.68,0.12,-0.8,-0.8172407501537481,0.521593920425673,-0.37238282083461727
90,77,-23,127,57,-13,48.0,57.0,-9.0,50.48432099837203,57.154760664940824,-6.670439666568797,-23,-13,-10,-0.67,0.0,-0.67,0.21911527359194688,0.1128134623794015,-0.0036067113999656416
131,85,-75,189,40,-61,47.0,56.0,-9.0,88.2874094458925,102.68722737841676,-14.399817932524272,-75,-61,-14,-0.57,0.23,-0.7999999999999999,-0.1954271359063311,-1.1414389590071887,-0.37238282083461693
141,69,-55,176,48,-42,51.666666666666664,60.666666666666664,-9.0,80.9499159288562,89.44768800192035,-8.497772073064155,-55,-42,-13,-0.31,0.21,-0.52,-0.09179153353176159,-0.18370923539306525,0.4219041841015555
75,59,-115,141,9,-104,6.333333333333333,15.333333333333334,-9.0,86.0439164354782,100.121037860293,-14.077121424814806,-115,-104,-11,-0.69,0.09,-0.7799999999999999,0.11547967121737739,-1.0890747374306193,-0.3156480347677474
143,79,-61,182,48,-51,53.666666666666664,59.666666666666664,-6.0,85.18737517313753,95.47890982946036,-10.291534656322838,-61,-51,-10,-0.42,0.18,-0.6,0.21911527359194688,-0.4747845309772378,0.1949650398340777
84,68,-103,122,41,-96,16.333333333333332,22.333333333333332,-6.0,84.63385190861212,89.97160045752709,-5.337748548914973,-103,-96,-7,-0.69,-0.3,-0.38999999999999996,0.5300220807156554,0.32907032079194304,0.7906802935362074
119,108,-47,186,48,-36,60.0,66.0,-6.0,75.79357932349328,91.5204895091804,-15.726910185687117,-47,-36,-11,-0.7,0.29,-0.99,0.11547967121737739,-1.3567872851803733,-0.9113632884698771
84,79,-43,131,41,-34,40.0,46.0,-6.0,58.72534943843814,67.45368781616021,-8.728338377722075,-43,-34,-9,-0.7,0.11,-0.8099999999999999,0.32275087596651636,-0.22112341489843404,-0.4007502138680517
155,92,-126,188,64,-113,40.333333333333336,46.333333333333336,-6.0,120.39472118365028,123.51608082441015,-3.121359640759877,-126,-113,-13,-0.56,-0.21,-0.3500000000000001,-0.09179153353176159,0.6887255296762357,0.9041498656699458
130,126,-134,195,67,-122,40.666666666666664,46.666666666666664,-6.0,123.5187794988636,130.21093997390884,-6.692160475045242,-134,-122,-12,-0.71,-0.23,-0.48,0.011844068842807899,0.10928880933634459,0.5353737562352946
58,47,-103,83,30,-93,0.6666666666666666,6.666666666666667,-6.0,73.44083030273796,73.72169890126577,-0.2808685985278032,-103,-93,-10,-0.7,-0.44,-0.25999999999999995,0.21911527359194688,1.1496542932921376,1.159456402970859
128,49,-107,164,22,-98,23.333333333333332,29.333333333333332,-6.0,97.63992808045056,107.08667309966984,-9.446745019219279,-107,-98,-9,-0.38,0.1,-0.48,0.32275087596651636,-0.3376998378180992,0.5353737562352946
96,68,-154,139,34,-145,3.3333333333333335,9.333333333333334,-6.0,111.83718324222744,117.24712742275987,-5.409944180532435,-154,-145,-9,-0.67,-0.31,-0.36000000000000004,0.32275087596651636,0.3173550776437878,0.8757824726365114
