outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
32,20,-50,54,6,-40,0.6666666666666666,6.666666666666667,-6.0,36.160137659521645,38.378234572331344,-2.218096912809699,-50,-40,-10,-0.65,0.03,-0.68
38,33,-50,58,27,-46,7.0,13.0,-6.0,40.3567425180312,43.59663595584718,-3.2398934378159794,-50,-46,-4,-0.7,-0.45,-0.24999999999999994
50,46,-84,74,36,-80,4.0,10.0,-6.0,62.24682053459973,65.50318058435535,-3.256360049755621,-84,-80,-4,-0.7,-0.53,-0.16999999999999993
66,16,-25,85,5,-15,19.0,25.0,-6.0,37.2111094522411,43.20493798938573,-5.993828537144637,-25,-15,-10,0.12,0.6,-0.48
53,51,-96,93,17,-84,2.6666666666666665,8.666666666666666,-6.0,69.77264666201378,72.49980842886568,-2.727161766851893,-96,-84,-12,-0.71,-0.17,-0.5399999999999999
73,48,-72,98,34,-65,16.333333333333332,22.333333333333332,-6.0,63.28945848682509,67.05387551978053,-3.7644170329554427,-72,-65,-7,-0.63,-0.26,-0.37
70,24,-76,92,8,-64,6.0,12.0,-6.0,60.94806532341011,63.74950980203691,-2.8014444786267987,-76,-64,-12,-0.42,0.09,-0.51
76,21,-90,94,13,-82,2.3333333333333335,8.333333333333334,-6.0,69.04265992043534,71.92743256613262,-2.884772645697282,-90,-82,-8,-0.39,-0.1,-0.29000000000000004
63,50,-48,99,27,-43,21.666666666666668,27.666666666666668,-6.0,49.54683530649449,57.97317387282577,-8.426338566331275,-48,-43,-5,-0.67,0.02,-0.6900000000000001
47,30,-26,67,16,-14,17.0,23.0,-6.0,31.187604375242845,33.436506994600975,-2.2489026193581303,-26,-14,-12,-0.55,0.3,-0.8500000000000001
60,24,-63,84,3,-57,7.0,10.0,-3.0,51.633322573702344,57.77542730261716,-6.142104728914816,-63,-57,-6,-0.46,0.18,-0.64
50,31,-44,73,9,-36,12.333333333333334,15.333333333333334,-3.0,40.581878824037815,44.723844000960185,-4.141965176922369,-44,-36,-8,-0.59,0.21,-0.7999999999999999
57,37,-63,90,9,-59,10.333333333333334,13.333333333333334,-3.0,52.4933858267454,60.90612083818469,-8.412735011439288,-63,-59,-4,-0.63,0.11,-0.74
69,37,-33,94,9,-21,24.333333333333332,27.333333333333332,-3.0,42.59368758656876,48.70546398734153,-6.111776400772769,-33,-21,-12,-0.42,0.51,-0.9299999999999999
59,44,-37,88,14,-27,22.0,25.0,-3.0,42.16633728461603,47.588514020367,-5.422176735750973,-37,-27,-10,-0.64,0.33,-0.97
61,39,-94,93,10,-88,2.0,5.0,-3.0,68.47383928674269,73.9774740489743,-5.503634762231613,-94,-88,-6,-0.65,-0.1,-0.55
69,48,-66,95,23,-58,17.0,20.0,-3.0,59.312730505347666,62.49799996799898,-3.1852694626513127,-66,-58,-8,-0.64,-0.07,-0.5700000000000001
71,31,-47,94,2,-32,18.333333333333332,21.333333333333332,-3.0,48.998866200034556,53.22488974989886,-4.226023549864301,-47,-32,-15,-0.37,0.5,-0.87
52,40,-57,82,4,-42,11.666666666666666,14.666666666666666,-3.0,48.80118395649389,51.181593913784624,-2.3804099572907376,-57,-42,-15,-0.68,0.3,-0.98
45,18,-24,62,5,-19,13.0,16.0,-3.0,28.39013913315678,33.97057550292606,-5.580436369769281,-24,-19,-5,-0.26,0.45,-0.71
55,38,-27,78,8,-20,22.0,22.0,0.0,35.33647784749729,41.21488404286329,-5.878406195365997,-27,-20,-7,-0.59,0.47,-1.06
68,39,-23,88,15,-19,28.0,28.0,0.0,37.95611501018863,44.63929509598765,-6.683180085799016,-23,-19,-4,-0.41,0.41,-0.82
85,18,-17,93,4,-11,28.666666666666668,28.666666666666668,0.0,42.3188951756646,45.900859348043674,-3.581964172379074,-17,-11,-6,0.36,0.65,-0.29000000000000004
64,52,-58,93,11,-46,19.333333333333332,19.333333333333332,0.0,54.9019327731021,57.05163353392161,-2.1497007608195133,-58,-46,-12,-0.68,0.22,-0.9
71,34,-28,85,10,-18,25.666666666666668,25.666666666666668,0.0,40.84387618997764,43.484352230301056,-2.6404760403234135,-28,-18,-10,-0.3,0.49,-0.79
65,47,-77,94,10,-69,11.666666666666666,11.666666666666666,0.0,63.12597634008435,66.55490632219052,-3.428929982106169,-77,-69,-8,-0.66,0.04,-0.7000000000000001
52,40,-47,82,1,-38,15.0,15.0,0.0,44.11349000022555,49.9799959983992,-5.866505998173643,-47,-38,-9,-0.67,0.4,-1.07
72,36,-85,88,16,-81,7.666666666666667,7.666666666666667,0.0,67.1532244613433,69.24513621106459,-2.091911749721291,-85,-81,-4,-0.56,-0.18,-0.38000000000000006
85,30,-10,93,17,-5,35.0,35.0,0.0,38.94440481849308,41.98412398355677,-3.039719165063694,-10,-5,-5,0.19,0.56,-0.37000000000000005
76,46,-41,95,20,-34,27.0,27.0,0.0,49.61854492022111,52.896124621752776,-3.277579701531664,-41,-34,-7,-0.52,0.2,-0.72
59,49,-17,81,20,-10,30.333333333333332,30.333333333333332,0.0,33.717782977071444,37.86232369461172,-4.1445407175402735,-17,-10,-7,-0.66,0.39,-1.05
79,41,-38,99,6,-23,27.333333333333332,27.333333333333332,0.0,48.732831734764694,52.0405824546788,-3.307750719914104,-38,-23,-15,-0.4,0.55,-0.9500000000000001
30,23,-7,44,5,-3,15.333333333333334,15.333333333333334,0.0,16.048537489614297,20.531818125912658,-4.48328063629836,-7,-3,-4,-0.61,0.63,-1.24
46,39,-47,76,2,-40,12.666666666666666,12.666666666666666,0.0,42.28737662970148,47.95368135561185,-5.666304725910372,-47,-40,-7,-0.69,0.32,-1.01
48,46,-67,77,10,-60,9.0,9.0,0.0,53.74631770332426,55.93448548674303,-2.18816778341877,-67,-60,-7,-0.71,-0.03,-0.6799999999999999
79,32,-39,94,13,-35,24.0,24.0,0.0,48.5042953424402,53.23532661682466,-4.731031274384456,-39,-35,-4,-0.24,0.3,-0.54
73,32,-52,92,3,-42,17.666666666666668,17.666666666666668,0.0,52.027770362460174,55.67963920700476,-3.6518688445445875,-52,-42,-10,-0.39,0.38,-0.77
64,45,-19,85,10,-5,30.0,30.0,0.0,35.505868059613285,39.370039370059054,-3.8641713104457693,-19,-5,-14,-0.56,0.63,-1.19
50,30,-9,60,16,-5,23.666666666666668,23.666666666666668,0.0,24.499433100017278,27.0842307543625,-2.5847976543452233,-9,-5,-4,-0.37,0.4,-0.77
55,16,-30,64,2,-25,13.666666666666666,13.666666666666666,0.0,34.74030640177039,37.25885427951619,-2.518547877745803,-30,-25,-5,-0.1,0.44,-0.54
45,44,-23,80,3,-17,22.0,22.0,0.0,31.822423959633664,41.817061908587824,-9.99463794895416,-23,-17,-6,-0.71,0.59,-1.2999999999999998
44,39,-75,72,4,-68,2.6666666666666665,2.6666666666666665,0.0,54.95654849262481,57.16253629393604,-2.205987801311231,-75,-68,-7,-0.7,-0.03,-0.6699999999999999
73,38,-33,97,1,-20,26.0,26.0,0.0,44.098374875574116,50.93132631298737,-6.832951437413257,-33,-20,-13,-0.39,0.62,-1.01
54,46,-53,77,18,-48,15.666666666666666,15.666666666666666,0.0,48.66438350808754,51.05770156292672,-2.3933180548391775,-53,-48,-5,-0.69,-0.07,-0.6199999999999999
69,51,-21,95,8,-4,33.0,33.0,0.0,38.88444419044716,44.11349000022555,-5.229045809778391,-21,-4,-17,-0.6,0.67,-1.27
53,44,-12,76,17,-8,28.333333333333332,28.333333333333332,0.0,28.755675768252928,35.216788925485844,-6.461113157232916,-12,-8,-4,-0.66,0.45,-1.11
77,47,-21,99,18,-14,34.333333333333336,34.333333333333336,0.0,40.99864496405812,47.55581516024676,-6.557170196188636,-21,-14,-7,-0.43,0.47,-0.8999999999999999
63,47,-15,89,7,-1,31.666666666666668,31.666666666666668,0.0,33.6386021641143,40.67213078045238,-7.033528616338074,-15,-1,-14,-0.59,0.69,-1.2799999999999998
56,46,-28,85,8,-19,24.666666666666668,24.666666666666668,0.0,37.464056848605644,44.0630860875127,-6.5990292389070575,-28,-19,-9,-0.67,0.51,-1.1800000000000002
55,44,-34,91,3,-29,21.666666666666668,21.666666666666668,0.0,39.617616732402716,50.736793574507864,-11.119176842105148,-34,-29,-5,-0.67,0.5,-1.17
60,39,-81,87,8,-77,6.0,6.0,0.0,62.112800613078136,66.9676538835479,-4.854853270469761,-81,-77,-4,-0.65,-0.04,-0.61
37,25,-44,56,2,-40,6.0,6.0,0.0,35.6931365951495,39.293765408777,-3.6006288136275018,-44,-40,-4,-0.65,0.15,-0.8
59,50,-96,98,6,-91,4.333333333333333,4.333333333333333,0.0,71.04145894397784,77.16792655558972,-6.126467611611872,-96,-91,-5,-0.7,-0.03,-0.6699999999999999
54,23,-50,70,3,-46,9.0,9.0,0.0,43.59663595584718,47.54646849837185,-3.9498325425246747,-50,-46,-4,-0.45,0.19,-0.64
63,37,-54,90,4,-48,15.333333333333334,15.333333333333334,0.0,50.16195991209098,56.9053795543288,-6.743419642237825,-54,-48,-6,-0.57,0.29,-0.8599999999999999
77,36,-47,94,14,-42,22.0,22.0,0.0,51.581650484127266,55.8091987638836,-4.227548279756334,-47,-42,-5,-0.39,0.21,-0.6
52,43,-65,75,16,-61,10.0,10.0,0.0,53.16013544000805,55.68363014986242,-2.5234947098543685,-65,-61,-4,-0.69,-0.16,-0.5299999999999999
69,40,-28,95,8,-22,27.0,27.0,0.0,40.65300316909769,49.61854492022111,-8.965541751123425,-28,-22,-6,-0.45,0.52,-0.97
68,19,-54,79,4,-50,11.0,11.0,0.0,50.1265066273989,52.896124621752776,-2.7696179943538723,-54,-50,-4,-0.24,0.2,-0.44
69,47,-23,96,10,-13,31.0,31.0,0.0,39.22584182228174,46.91126375047539,-7.685421928193655,-23,-13,-10,-0.54,0.58,-1.12
91,16,-26,99,1,-19,27.0,27.0,0.0,48.394214530251446,51.56226010045202,-3.168045570200576,-26,-19,-7,0.33,0.63,-0.3
88,22,-23,94,12,-19,29.0,29.0,0.0,45.58508528016593,47.672493816315786,-2.0874085361498587,-23,-19,-4,0.23,0.49,-0.26
70,30,-62,87,8,-57,12.666666666666666,12.666666666666666,0.0,55.265018069500556,58.88029287366775,-3.6152748041671927,-62,-57,-5,-0.44,0.12,-0.56
56,54,-15,82,21,-8,31.666666666666668,31.666666666666668,0.0,33.00841643513902,37.5085175512028,-4.500101116063782,-15,-8,-7,-0.71,0.4,-1.1099999999999999
79,49,-50,98,25,-45,26.0,26.0,0.0,55.11805511808268,58.38378770400792,-3.2657325859252424,-50,-45,-5,-0.55,0.03,-0.5800000000000001
48,35,-20,67,3,-7,21.0,21.0,0.0,29.473151624260794,32.78210894171799,-3.3089573174571996,-20,-7,-13,-0.61,0.66,-1.27
81,22,-15,91,3,-6,29.333333333333332,29.333333333333332,0.0,39.53338954464807,43.759443425264095,-4.226053880616028,-15,-6,-9,0.27,0.68,-0.41000000000000003
74,38,-25,94,11,-18,29.0,29.0,0.0,40.91454509095757,47.462265713582056,-6.547720622624489,-25,-18,-7,-0.32,0.51,-0.8300000000000001
90,21,-34,99,7,-29,25.666666666666668,25.666666666666668,0.0,50.73022329495067,53.89702115042063,-3.1667978554699587,-34,-29,-5,0.14,0.48,-0.33999999999999997
61,45,-48,87,13,-42,19.333333333333332,19.333333333333332,0.0,48.05783552715994,52.854096866331524,-4.796261339171586,-48,-42,-6,-0.65,0.18,-0.8300000000000001
66,42,-35,90,1,-18,24.333333333333332,24.333333333333332,0.0,43.083897481799646,47.07676945396978,-3.9928719721701356,-35,-18,-17,-0.55,0.62,-1.17
75,40,-15,94,14,-8,33.333333333333336,33.333333333333336,0.0,37.04351795148811,43.827946437049604,-6.784428485561492,-15,-8,-7,-0.26,0.58,-0.84
66,50,-48,92,14,-38,22.666666666666668,22.666666666666668,0.0,50.39400317057135,53.42492135906446,-3.0309181884931107,-48,-38,-10,-0.65,0.24,-0.89
58,47,-74,97,2,-68,10.333333333333334,10.333333333333334,0.0,59.801523577767,67.61820925033598,-7.81668567256898,-74,-68,-6,-0.69,0.18,-0.8699999999999999
63,26,-14,81,1,-7,25.0,25.0,0.0,31.44307024873154,39.73243846867024,-8.289368219938698,-14,-7,-7,-0.05,0.69,-0.74
38,34,-15,62,2,-7,19.0,19.0,0.0,24.097026095903757,30.62678566222711,-6.529759566323353,-15,-7,-8,-0.69,0.66,-1.35
