outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
120,-81,-135,131,-43,-157,-32.0,-23.0,-9.0,109.71781988355401,118.4229707446997,-8.705150861145682,-216,-200,-16,0.58,0.25,0.32999999999999996
1,-105,-145,2,-62,-162,-83.0,-74.0,-9.0,61.60086579478138,67.4882705858334,-5.8874047910520275,-250,-224,-26,0.49,-0.26,0.75
94,-98,-110,117,-38,-166,-38.0,-29.0,-9.0,93.46657156438339,115.7094061287442,-22.24283456436082,-208,-204,-4,0.7,0.12,0.58
118,-112,-182,129,-81,-197,-58.666666666666664,-49.666666666666664,-9.0,128.14921857827392,134.9205527544101,-6.771334176136179,-294,-278,-16,0.55,0.34,0.21000000000000002
100,-12,-40,123,-1,-47,16.0,25.0,-9.0,60.486913185140025,71.7960073170275,-11.309094131887477,-52,-48,-4,0.6,0.5,0.09999999999999998
148,-4,-91,157,-2,-84,17.666666666666668,23.666666666666668,-6.0,98.76684103933309,100.04776636964743,-1.2809253303143464,-95,-86,-9,0.32,0.37,-0.04999999999999999
171,-104,-136,162,-22,-191,-23.0,-17.0,-6.0,137.79937106774713,144.15500916259091,-6.355638094843783,-240,-213,-27,0.68,0.05,0.63
89,-104,-153,60,-17,-193,-56.0,-50.0,-6.0,104.46370980712233,105.88987990675344,-1.4261700996311077,-257,-210,-47,0.59,-0.44,1.03
74,-71,-153,52,-10,-174,-50.0,-44.0,-6.0,93.85449731721259,95.34498763263157,-1.490490315418981,-224,-184,-40,0.32,-0.49,0.81
80,-51,-105,74,-13,-119,-25.333333333333332,-19.333333333333332,-6.0,77.67596510862002,78.9190865521277,-1.2431214435076754,-156,-132,-24,0.46,-0.12,0.5800000000000001
54,-55,-183,45,-31,-189,-61.333333333333336,-58.333333333333336,-3.0,96.85843048261496,97.46566346952939,-0.6072329869144255,-238,-220,-18,-0.1,-0.4,0.30000000000000004
38,-98,-109,25,-40,-145,-56.333333333333336,-53.333333333333336,-3.0,66.85473472803221,70.03967129816898,-3.1849365701367702,-207,-185,-22,0.69,-0.28,0.97
164,-86,-157,168,-67,-171,-26.333333333333332,-23.333333333333332,-3.0,137.6719127329738,141.79876194413296,-4.126849211159168,-243,-238,-5,0.57,0.43,0.13999999999999996
48,-100,-134,44,-56,-165,-62.0,-59.0,-3.0,79.01054781905178,85.35025873813545,-6.339710919083672,-234,-221,-13,0.61,-0.05,0.66
