outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
116,83,-175,170,49,-168,8.0,17.0,-9.0,130.09996156801893,139.83085019646654,-9.730888628447616,-175,-168,-7,-0.67,-0.33,-0.34
116,89,-75,175,7,-25,43.333333333333336,52.333333333333336,-9.0,84.3972090112516,87.7167157514588,-3.3195067402072027,-75,-25,-50,-0.65,0.64,-1.29
140,56,-63,190,3,-33,44.333333333333336,53.333333333333336,-9.0,83.28398538868215,97.74911195959218,-14.46512657091003,-63,-33,-30,-0.21,0.64,-0.85
80,58,-25,121,27,-8,37.666666666666664,46.666666666666664,-9.0,45.213075788119326,54.46915538989832,-9.256079601778993,-25,-8,-17,-0.58,0.49,-1.0699999999999998
107,91,-56,174,3,-8,47.333333333333336,56.333333333333336,-9.0,73.35908638713786,83.32399947727478,-9.964913090136918,-56,-8,-48,-0.68,0.7,-1.38
124,105,-49,135,113,-41,60.0,69.0,-9.0,77.46397011944758,78.29857384822962,-0.8346037287820423,-49,-41,-8,-0.68,-0.67,-0.010000000000000009
91,81,-111,148,45,-105,20.333333333333332,29.333333333333332,-9.0,92.9563816469256,103.87920335124298,-10.922821704317371,-111,-105,-6,-0.7,-0.22,-0.48
122,105,-44,181,35,-6,61.0,70.0,-9.0,74.569877743407,80.25376419001583,-5.683886446608824,-44,-6,-38,-0.68,0.57,-1.25
90,73,-67,148,5,-30,32.0,41.0,-9.0,70.34676017178522,76.99783546741212,-6.651075295626896,-67,-30,-37,-0.68,0.6,-1.28
131,26,-40,148,6,-10,39.0,48.0,-9.0,70.41306696913578,71.01173611922657,-0.5986691500907853,-40,-10,-30,0.27,0.68,-0.41000000000000003
120,30,-144,125,45,-137,2.0,11.0,-9.0,109.5810202544218,109.62967967966826,-0.04865942524645561,-144,-137,-7,-0.37,-0.44,0.07
101,88,-169,170,24,-147,6.666666666666667,15.666666666666666,-9.0,124.32841813340806,129.54878960796543,-5.220371474557368,-169,-147,-22,-0.7,-0.1,-0.6
155,72,-33,189,61,-29,64.66666666666667,73.66666666666667,-9.0,76.92564952963059,89.44768800192037,-12.522038472289779,-33,-29,-4,-0.14,0.21,-0.35
124,54,-85,121,81,-82,31.0,40.0,-9.0,86.86004067847693,87.79901290257577,-0.9389722240988334,-85,-82,-3,-0.38,-0.6,0.21999999999999997
64,11,-18,82,17,-15,19.0,28.0,-9.0,33.95094500402996,40.3567425180312,-6.405797514001236,-18,-15,-3,0.34,0.39,-0.04999999999999999
138,89,-19,179,60,-4,69.33333333333333,78.33333333333333,-9.0,65.5862451704285,75.825823804002,-10.239578633573501,-19,-4,-15,-0.42,0.35,-0.77
44,42,-27,71,28,-13,19.666666666666668,28.666666666666668,-9.0,33.00841643513902,34.29609631171195,-1.2876798765729305,-27,-13,-14,-0.71,0.03,-0.74
116,71,-167,172,14,-139,6.666666666666667,15.666666666666666,-9.0,124.16744966196075,126.97068778090302,-2.803238118942275,-167,-139,-28,-0.64,0.02,-0.66
86,41,-126,98,55,-125,0.3333333333333333,9.333333333333334,-9.0,91.20063352606469,96.59652627754731,-5.39589275148262,-126,-125,-1,-0.58,-0.6,0.020000000000000018
146,53,-64,198,6,-42,45.0,54.0,-9.0,85.91856609604235,103.69185117452577,-17.77328507848341,-64,-42,-22,-0.14,0.6,-0.74
116,45,-40,156,17,-25,40.333333333333336,49.333333333333336,-9.0,63.77216390313951,77.34913631637323,-13.576972413233726,-40,-25,-15,-0.11,0.55,-0.66
107,64,-113,126,65,-106,19.333333333333332,28.333333333333332,-9.0,95.2062089478529,98.1982122489452,-2.9920033010922964,-113,-106,-7,-0.6,-0.51,-0.08999999999999997
127,107,-69,186,49,-43,55.0,64.0,-9.0,88.0605852051113,94.0886107170611,-6.0280255119498065,-69,-43,-26,-0.68,0.24,-0.92
144,97,-101,185,60,-78,46.666666666666664,55.666666666666664,-9.0,106.1644426768628,107.41301390220626,-1.2485712253434542,-101,-78,-23,-0.6,-0.06,-0.54
117,38,-77,157,1,-53,26.0,35.0,-9.0,79.65341591335972,89.03931715820826,-9.38590124484854,-77,-53,-24,-0.22,0.52,-0.74
89,80,-157,105,84,-150,4.0,13.0,-9.0,113.9034679015525,115.57681428383462,-1.6733463822821193,-157,-150,-7,-0.7,-0.69,-0.010000000000000009
131,107,-39,185,66,-25,66.33333333333333,75.33333333333333,-9.0,75.12360185424788,85.98578693921196,-10.862185084964082,-39,-25,-14,-0.65,0.16,-0.81
113,103,-119,148,87,-111,32.333333333333336,41.333333333333336,-9.0,107.08667309966987,110.55717475084505,-3.4705016511751836,-119,-111,-8,-0.7,-0.55,-0.1499999999999999
108,49,-98,148,22,-84,19.666666666666668,28.666666666666668,-9.0,86.61921778040303,94.83084355255356,-8.211625772150526,-98,-84,-14,-0.47,0.11,-0.58
64,58,-111,105,43,-110,3.6666666666666665,12.666666666666666,-9.0,81.11856891133017,90.35608569555359,-9.237516784223416,-111,-110,-1,-0.7,-0.47,-0.22999999999999998
93,84,-27,165,25,-13,50.0,59.0,-9.0,54.57105459856901,76.54192750817468,-21.970872909605667,-27,-13,-14,-0.69,0.58,-1.27
119,20,-121,141,24,-120,6.0,15.0,-9.0,98.47842403288143,106.74268124794318,-8.264257215061747,-121,-120,-1,-0.21,-0.13,-0.07999999999999999
120,91,-157,182,29,-130,18.0,27.0,-9.0,124.30875539022449,127.38131731144878,-3.072561921224292,-157,-130,-27,-0.68,-0.02,-0.66
111,90,-46,171,41,-30,51.666666666666664,60.666666666666664,-9.0,69.5908678555519,83.22793334505484,-13.63706548950293,-46,-30,-16,-0.66,0.34,-1.0
78,77,-31,143,37,-29,41.333333333333336,50.333333333333336,-9.0,51.14901975817545,70.84882183604435,-19.699802077868902,-31,-29,-2,-0.71,0.28,-0.99
79,58,-44,117,12,-9,31.0,40.0,-9.0,53.72150407425317,55.11805511808268,-1.3965510438295112,-44,-9,-35,-0.63,0.63,-1.26
113,69,-117,151,57,-116,21.666666666666668,30.666666666666668,-9.0,99.68394499059961,110.58129237001266,-10.897347379413048,-117,-116,-1,-0.61,-0.34,-0.26999999999999996
137,110,-182,152,121,-181,21.666666666666668,30.666666666666668,-9.0,144.43529885576987,150.20504504029,-5.76974618452013,-182,-181,-1,-0.69,-0.68,-0.009999999999999898
157,96,-160,176,97,-153,31.0,40.0,-9.0,137.33414239243885,140.23076219812353,-2.8966198056846792,-160,-153,-7,-0.6,-0.54,-0.05999999999999994
92,77,-64,138,38,-44,35.0,44.0,-9.0,70.27090436304346,74.4222189044822,-4.151314541438737,-64,-44,-20,-0.68,0.12,-0.8
162,22,-83,175,25,-72,33.666666666666664,42.666666666666664,-9.0,100.36046144883063,101.60817989818645,-1.2477184493558156,-83,-72,-11,0.17,0.26,-0.09
90,77,-23,127,57,-13,48.0,57.0,-9.0,50.48432099837203,57.154760664940824,-6.670439666568797,-23,-13,-10,-0.67,0.0,-0.67
103,68,-44,144,18,-8,42.333333333333336,51.333333333333336,-9.0,62.69680126520721,66.37938100210201,-3.6825797368947946,-44,-8,-36,-0.55,0.63,-1.1800000000000002
135,107,-46,181,54,-12,65.33333333333333,74.33333333333333,-9.0,79.5501239610739,80.09300149756461,-0.542877536490721,-46,-12,-34,-0.64,0.36,-1.0
148,80,-100,142,110,-97,42.666666666666664,51.666666666666664,-9.0,104.63056702300507,105.93184391652755,-1.301276893522484,-100,-97,-3,-0.49,-0.66,0.17000000000000004
97,89,-138,175,16,-116,16.0,25.0,-9.0,108.94341038661616,118.97058459972364,-10.027174213107472,-138,-116,-22,-0.7,0.11,-0.8099999999999999
77,66,-122,123,41,-116,7.0,16.0,-9.0,91.32725040570676,99.15980368408697,-7.832553278380203,-122,-116,-6,-0.7,-0.36,-0.33999999999999997
131,49,-53,169,3,-18,42.333333333333336,51.333333333333336,-9.0,75.26545614615571,83.64342306614563,-8.377966919989916,-53,-18,-35,-0.13,0.67,-0.8
140,26,-97,144,48,-96,23.0,32.0,-9.0,96.77809669548166,98.63062404750362,-1.8525273520219514,-97,-96,-1,-0.05,-0.24,0.19
101,91,-95,140,72,-88,32.333333333333336,41.333333333333336,-9.0,90.13076919429655,95.57312499977293,-5.442355805476382,-95,-88,-7,-0.7,-0.45,-0.24999999999999994
125,76,-105,175,28,-80,32.0,41.0,-9.0,98.91747402085572,104.5083728703112,-5.590898849455485,-105,-80,-25,-0.58,0.18,-0.76
147,108,-49,176,90,-33,68.66666666666667,77.66666666666667,-9.0,84.71258597293688,85.76842205743453,-1.0558360844976562,-49,-33,-16,-0.6,-0.21,-0.39
88,57,-118,115,45,-106,9.0,18.0,-9.0,90.68994799131085,92.22074965357127,-1.53080166226043,-118,-106,-12,-0.65,-0.41,-0.24000000000000005
117,102,-153,180,46,-133,22.0,31.0,-9.0,123.89511693363868,128.2211630998045,-4.326046166165824,-153,-133,-20,-0.7,-0.17,-0.5299999999999999
146,66,-52,182,55,-50,53.333333333333336,62.333333333333336,-9.0,81.32786866887773,94.85544557670664,-13.527576907828916,-52,-50,-2,-0.23,0.12,-0.35
106,73,-164,165,12,-135,5.0,14.0,-9.0,120.25805586321442,122.48265183282079,-2.2245959696063693,-164,-135,-29,-0.67,0.02,-0.6900000000000001
151,77,-183,185,64,-177,15.0,24.0,-9.0,143.2294196967462,150.46815831486296,-7.23873861811677,-183,-177,-6,-0.57,-0.38,-0.18999999999999995
