outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
79,41,-66,75,53,-56,18.0,24.0,-6.0,61.389467066156115,57.27710420985567,4.112362856300443,-66,-56,-10,-0.51,-0.63,0.12
70,18,-58,59,29,-40,10.0,16.0,-6.0,52.56107558513873,41.44876355212541,11.112312033013318,-58,-40,-18,-0.22,-0.44,0.22
68,45,-80,64,50,-63,11.0,17.0,-6.0,65.02819901140326,56.85654462475421,8.171654386649053,-80,-63,-17,-0.64,-0.68,0.040000000000000036
96,7,-54,93,17,-43,16.333333333333332,22.333333333333332,-6.0,61.59184650224051,55.649698012557884,5.942148489682623,-54,-43,-11,0.22,0.14,0.07999999999999999
85,5,-29,75,27,-23,20.333333333333332,26.333333333333332,-6.0,47.786562499886465,40.01110956832975,7.775452931556714,-29,-23,-6,0.45,-0.02,0.47000000000000003
98,90,-56,95,91,-36,44.0,50.0,-6.0,70.78606265831337,60.83310502240262,9.95295763591075,-56,-36,-20,-0.7,-0.7,0.0
40,31,-59,50,19,-39,4.0,10.0,-6.0,44.69899327725402,36.88721549082645,7.8117777864275695,-59,-39,-20,-0.69,-0.35,-0.33999999999999997
66,6,-27,44,41,-22,15.0,21.0,-6.0,38.49675310984031,30.430248109405877,8.066505000434436,-27,-22,-5,0.34,-0.7,1.04
93,22,-41,94,28,-30,24.666666666666668,30.666666666666668,-6.0,54.73775865179558,50.65789397736766,4.079864674427924,-41,-30,-11,0.07,0.08,-0.009999999999999995
56,32,-37,57,35,-23,17.0,23.0,-6.0,39.42080668885405,33.7441352929167,5.676671395937348,-37,-23,-14,-0.52,-0.49,-0.030000000000000027
77,45,-44,64,62,-36,26.0,30.0,-4.0,51.1924473596122,46.676189504571454,4.516257855040749,-44,-36,-8,-0.51,-0.71,0.19999999999999996
83,74,-35,82,73,-21,40.666666666666664,44.666666666666664,-4.0,53.63042254375983,46.578488120113505,7.051934423646323,-35,-21,-14,-0.69,-0.69,0.0
75,19,-90,52,44,-80,1.3333333333333333,5.333333333333333,-4.0,68.5095289398165,60.428102365998186,8.08142657381832,-90,-80,-10,-0.37,-0.7,0.32999999999999996
