outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
56,47,-38,96,8,-27,21.666666666666668,25.666666666666668,-4.0,42.35039026450117,51.74510175422941,-9.394711489728238,-38,-27,-11,-0.68,0.47,-1.15
39,22,-9,62,3,-1,17.333333333333332,21.333333333333332,-4.0,19.871811414385174,28.802006102970598,-8.930194688585424,-9,-1,-8,-0.34,0.7,-1.04
70,19,-62,87,3,-51,9.0,13.0,-4.0,54.35071296680477,56.78027826631356,-2.4295652995087877,-62,-51,-11,-0.27,0.26,-0.53
72,24,-48,97,1,-38,16.0,20.0,-4.0,49.31531202375181,56.72741841473134,-7.412106390979531,-48,-38,-10,-0.24,0.46,-0.7
61,42,-33,89,13,-20,23.333333333333332,27.333333333333332,-4.0,40.581878824037815,45.638677554119475,-5.05679873008166,-33,-20,-13,-0.59,0.44,-1.03
38,33,-16,59,13,-5,18.333333333333332,22.333333333333332,-4.0,24.362995619495468,26.948510575210317,-2.5855149557148493,-16,-5,-11,-0.68,0.48,-1.1600000000000001
49,45,-22,98,1,-15,24.0,28.0,-4.0,32.567877834864625,49.926612809869916,-17.35873497500529,-22,-15,-7,-0.7,0.65,-1.35
62,21,-41,80,4,-30,14.0,18.0,-4.0,42.339894504670966,45.985504962614755,-3.645610457943789,-41,-30,-11,-0.24,0.43,-0.6699999999999999
45,41,-31,70,21,-24,18.333333333333332,22.333333333333332,-4.0,34.92213560989012,38.38691906829143,-3.464783458401307,-31,-24,-7,-0.7,0.05,-0.75
65,45,-37,98,19,-32,24.333333333333332,28.333333333333332,-4.0,44.13111776916097,53.48104544810453,-9.349927678943558,-37,-32,-5,-0.6,0.26,-0.86
52,43,-44,80,13,-36,17.0,19.0,-2.0,43.289721643826724,47.54646849837185,-4.256746854545128,-44,-36,-8,-0.68,0.19,-0.8700000000000001
65,37,-60,88,9,-49,14.0,16.0,-2.0,53.559935275041795,56.14861233073055,-2.5886770556887555,-60,-49,-11,-0.56,0.19,-0.75
68,28,-31,84,9,-22,21.666666666666668,23.666666666666668,-2.0,40.66393433443886,44.4996878890428,-3.835753554603933,-31,-22,-9,-0.23,0.46,-0.6900000000000001
68,54,-91,99,22,-84,10.333333333333334,12.333333333333334,-2.0,71.88107462252417,75.02147840600198,-3.140403783477808,-91,-84,-7,-0.69,-0.19,-0.49999999999999994
53,41,-20,73,15,-8,24.666666666666668,26.666666666666668,-2.0,31.961782734314987,34.081601422990026,-2.119818688675039,-20,-8,-12,-0.63,0.47,-1.1
62,42,-55,87,12,-44,16.333333333333332,18.333333333333332,-2.0,51.09685791600975,53.667701853370076,-2.5708439373603227,-55,-44,-11,-0.63,0.18,-0.81
76,58,-33,96,39,-28,33.666666666666664,35.666666666666664,-2.0,47.70977072070481,50.6776303927307,-2.967859672025888,-33,-28,-5,-0.63,-0.1,-0.53
37,25,-45,61,2,-40,5.666666666666667,7.666666666666667,-2.0,36.160137659521645,41.42731251508143,-5.267174855559787,-45,-40,-5,-0.65,0.2,-0.8500000000000001
74,47,-14,93,25,-5,35.666666666666664,37.666666666666664,-2.0,36.80881536926839,40.99864496405812,-4.189829594789735,-14,-5,-9,-0.43,0.43,-0.86
59,25,-91,78,7,-86,-2.3333333333333335,-0.3333333333333333,-2.0,64.21491692399482,67.1532244613433,-2.9383075373484786,-91,-86,-5,-0.56,-0.16,-0.4
68,51,-25,96,10,-12,31.333333333333332,31.333333333333332,0.0,40.43375927228247,46.59995231280345,-6.16619304052098,-25,-12,-13,-0.61,0.59,-1.2
62,47,-48,89,9,-37,20.333333333333332,20.333333333333332,0.0,48.705463987341524,52.0597946809457,-3.354330693604176,-48,-37,-11,-0.66,0.32,-0.98
55,50,-9,84,15,-3,32.0,32.0,0.0,29.06314963431642,37.49666651850535,-8.43351688418893,-9,-3,-6,-0.69,0.59,-1.2799999999999998
61,50,-38,85,20,-32,24.333333333333332,24.333333333333332,0.0,44.304501903180096,47.86323107447813,-3.558729171298033,-38,-32,-6,-0.67,0.14,-0.81
76,43,-14,93,15,-3,35.0,35.0,0.0,37.17526059088221,41.66533331199932,-4.490072721117109,-14,-3,-11,-0.31,0.61,-0.9199999999999999
50,25,-43,67,2,-37,10.666666666666666,10.666666666666666,0.0,39.296593010364425,42.897811391983886,-3.6012183816194607,-43,-37,-6,-0.5,0.29,-0.79
41,22,-9,51,4,-1,18.0,18.0,0.0,20.607442021431645,23.423634787681152,-2.8161927662495074,-9,-1,-8,-0.28,0.68,-0.9600000000000001
67,60,-42,97,18,-30,28.333333333333332,28.333333333333332,0.0,49.815214097257034,52.359865885576475,-2.5446517883194417,-42,-30,-12,-0.7,0.29,-0.99
67,40,-8,80,22,-3,33.0,33.0,0.0,31.016124838541646,34.76588366008646,-3.7497588215448125,-8,-3,-5,-0.33,0.44,-0.77
56,37,-26,77,5,-15,22.333333333333332,22.333333333333332,0.0,35.046001515468525,39.508086373410805,-4.46208485794228,-26,-15,-11,-0.55,0.57,-1.12
83,29,-67,99,3,-57,15.0,15.0,0.0,62.03224967708329,64.24951361683604,-2.2172639397527476,-67,-57,-10,-0.33,0.27,-0.6000000000000001
61,48,-97,98,2,-88,4.0,4.0,0.0,71.6147098483731,75.9473501841901,-4.332640335817004,-97,-88,-9,-0.69,0.04,-0.73
78,37,-18,99,7,-9,32.333333333333336,32.333333333333336,0.0,39.330508373130506,47.59084879353266,-8.260340420402152,-18,-9,-9,-0.18,0.65,-0.8300000000000001
61,42,-31,89,8,-25,24.0,24.0,0.0,39.65686153324121,47.89572005931219,-8.238858526070977,-31,-25,-6,-0.59,0.46,-1.05
73,30,-92,96,2,-87,3.6666666666666665,3.6666666666666665,0.0,69.88721072000385,74.71873184743494,-4.831521127431088,-92,-87,-5,-0.51,0.03,-0.54
50,38,-60,75,8,-55,9.333333333333334,9.333333333333334,0.0,49.27022991173834,53.080651423617205,-3.8104215118788645,-60,-55,-5,-0.68,0.04,-0.7200000000000001
64,37,-58,87,2,-46,14.333333333333334,14.333333333333334,0.0,52.321654747872365,54.99292883837178,-2.6712740904994163,-58,-46,-12,-0.57,0.33,-0.8999999999999999
72,53,-98,99,21,-93,9.0,9.0,0.0,76.05699617173076,78.8416133777081,-2.784617205977341,-98,-93,-5,-0.67,-0.22,-0.45000000000000007
69,38,-36,94,5,-28,23.666666666666668,23.666666666666668,0.0,44.04795366668266,51.52561391083942,-7.477660244156759,-36,-28,-8,-0.45,0.5,-0.95
61,43,-14,84,9,-3,30.0,30.0,0.0,31.96873472629156,38.49675310984031,-6.528018383548751,-14,-3,-11,-0.54,0.66,-1.2000000000000002
55,54,-78,95,7,-71,10.333333333333334,10.333333333333334,0.0,62.46243315430127,67.8101926130742,-5.34775945877292,-78,-71,-7,-0.71,0.07,-0.78
68,36,-52,93,4,-45,17.333333333333332,17.333333333333332,0.0,50.736793574507864,57.121702433391185,-6.384908858883321,-52,-45,-7,-0.5,0.34,-0.8400000000000001
69,29,-25,81,10,-18,24.333333333333332,24.333333333333332,0.0,38.51695153507811,41.66799997866735,-3.1510484435892465,-25,-18,-7,-0.18,0.48,-0.6599999999999999
66,49,-21,86,22,-14,31.333333333333332,31.333333333333332,0.0,37.65043898224236,41.354833118055524,-3.7043941358131605,-21,-14,-7,-0.6,0.33,-0.9299999999999999
