outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
70,33,-47,71,38,-35,18.666666666666668,24.666666666666668,-6.0,48.82849805413046,44.28945196720722,4.539046086923243,-47,-35,-12,-0.42,-0.42,0.0
97,33,-15,81,61,-9,38.333333333333336,44.333333333333336,-6.0,45.87906809089401,38.58612300930075,7.29294508159326,-15,-9,-6,0.17,-0.57,0.74
78,52,-81,71,66,-70,16.333333333333332,22.333333333333332,-6.0,69.63875038766531,65.32142748661337,4.317322901051938,-81,-70,-11,-0.63,-0.7,0.06999999999999995
91,35,-75,71,58,-60,17.0,23.0,-6.0,68.95409100747153,58.92933621437345,10.024754793098083,-75,-60,-15,-0.37,-0.68,0.31000000000000005
70,29,-98,58,48,-87,0.3333333333333333,6.333333333333333,-6.0,71.51845138765862,66.12278141625791,5.395669971400707,-98,-87,-11,-0.54,-0.69,0.1499999999999999
90,32,-80,76,49,-65,14.0,20.0,-6.0,70.55966742174078,61.106464469808756,9.453202951932028,-80,-65,-15,-0.37,-0.6,0.22999999999999998
25,1,-70,19,13,-58,-14.666666666666666,-8.666666666666666,-6.0,40.33471072028271,34.96982826507572,5.364882455206988,-70,-58,-12,-0.52,-0.69,0.16999999999999993
83,33,-62,79,45,-52,18.0,24.0,-6.0,60.13872850889572,55.50375362681939,4.634974882076328,-62,-52,-10,-0.36,-0.51,0.15000000000000002
85,34,-93,67,57,-80,8.666666666666666,14.666666666666666,-6.0,74.84354050654977,67.06381703687582,7.779723469673954,-93,-80,-13,-0.47,-0.7,0.22999999999999998
69,27,-20,58,45,-9,25.333333333333332,31.333333333333332,-6.0,36.353205574688396,29.00957696271277,7.343628611975625,-20,-9,-11,-0.07,-0.6,0.53
57,3,-62,56,9,-55,-0.6666666666666666,3.3333333333333335,-4.0,48.65068230650922,45.49236810230432,3.158314204204899,-62,-55,-7,-0.11,-0.18,0.06999999999999999
66,31,-95,48,46,-80,0.6666666666666666,4.666666666666667,-4.0,69.13915115346892,59.87394165151388,9.265209501955034,-95,-80,-15,-0.57,-0.71,0.14
81,66,-54,94,55,-44,31.0,35.0,-4.0,60.41522986797286,58.08614292583042,2.329086942142439,-54,-44,-10,-0.67,-0.48,-0.19000000000000006
95,15,-85,68,41,-72,8.333333333333334,12.333333333333334,-4.0,73.63574011458174,60.64285246882401,12.992887645757726,-85,-72,-13,-0.14,-0.6,0.45999999999999996
66,14,-90,44,43,-85,-3.3333333333333335,0.6666666666666666,-4.0,64.85539470408165,60.57685660015346,4.2785381039281845,-90,-85,-5,-0.38,-0.71,0.32999999999999996
86,7,-98,51,39,-83,-1.6666666666666667,2.3333333333333335,-4.0,75.36724900261534,60.53832578531462,14.82892321730072,-98,-83,-15,-0.17,-0.69,0.5199999999999999
93,22,-82,92,30,-77,11.0,15.0,-4.0,71.8656153293539,69.8044888718961,2.061126457457803,-82,-77,-5,-0.23,-0.31,0.07999999999999999
47,27,-69,56,21,-60,1.6666666666666667,5.666666666666667,-4.0,50.631566789460074,48.58211833815218,2.049448451307896,-69,-60,-9,-0.63,-0.44,-0.19
53,22,-71,50,26,-60,1.3333333333333333,5.333333333333333,-4.0,52.689868307125444,47.22522866246623,5.464639644659215,-71,-60,-11,-0.53,-0.57,0.039999999999999925
97,25,-86,96,32,-80,12.0,16.0,-4.0,75.27283706623525,72.73696905059123,2.535868015644027,-86,-80,-6,-0.25,-0.32,0.07
71,32,-49,68,30,-38,18.0,20.0,-2.0,49.9799959983992,43.84822307308093,6.131772925318266,-49,-38,-11,-0.4,-0.33,-0.07
77,70,-37,89,56,-29,36.666666666666664,38.666666666666664,-2.0,52.16853031814827,49.708036461812576,2.4604938563356953,-37,-29,-8,-0.7,-0.48,-0.21999999999999997
63,49,-54,59,47,-42,19.333333333333332,21.333333333333332,-2.0,52.16853031814827,45.05058884804454,7.11794147010373,-54,-42,-12,-0.67,-0.67,0.0
78,65,-26,93,43,-13,39.0,41.0,-2.0,46.26733909213568,43.29742101634538,2.9699180757902965,-26,-13,-13,-0.67,-0.07,-0.6000000000000001
50,41,-70,55,33,-61,7.0,9.0,-2.0,54.57105459856901,50.30573194643595,4.265322652133065,-70,-61,-9,-0.69,-0.61,-0.07999999999999996
45,3,-75,25,19,-65,-9.0,-7.0,-2.0,49.71921157862421,41.08527716834828,8.633934410275934,-75,-65,-10,-0.35,-0.7,0.35
81,21,-36,75,20,-23,22.0,24.0,-2.0,47.77028364998475,40.10818702792071,7.662096622064041,-36,-23,-13,0.03,0.15,-0.12
94,75,-95,97,69,-86,24.666666666666668,26.666666666666668,-2.0,84.9718907770224,80.48326258021326,4.488628196809131,-95,-86,-9,-0.68,-0.64,-0.040000000000000036
93,61,-64,98,53,-55,30.0,32.0,-2.0,67.73969786370964,64.20280367709809,3.5368941866115478,-64,-55,-9,-0.59,-0.46,-0.12999999999999995
82,24,-57,76,29,-50,16.333333333333332,18.333333333333332,-2.0,57.00487308604024,51.98931514156432,5.015557944475923,-57,-50,-7,-0.2,-0.3,0.09999999999999998
82,12,-56,61,18,-41,12.666666666666666,12.666666666666666,0.0,56.3402362634576,41.81174741890396,14.528488844553635,-56,-41,-15,0.02,-0.19,0.21
74,59,-84,64,56,-71,16.333333333333332,16.333333333333332,0.0,71.2101740546173,61.8402961039339,9.369877950683396,-84,-71,-13,-0.68,-0.7,0.019999999999999907
37,32,-17,47,10,-5,17.333333333333332,17.333333333333332,0.0,24.362995619495468,21.853044537445015,2.5099510820504527,-17,-5,-12,-0.68,0.47,-1.15
88,6,-72,71,8,-57,7.333333333333333,7.333333333333333,0.0,65.3265302580472,52.257907429296175,13.068622828751025,-72,-57,-15,0.03,-0.02,0.05
75,27,-57,72,17,-44,15.0,15.0,0.0,54.55272678794342,47.37791327893902,7.174813509004402,-57,-44,-13,-0.32,-0.06,-0.26
87,26,-39,75,31,-32,24.666666666666668,24.666666666666668,0.0,51.44792404838984,43.91152721350309,7.5363968348867445,-39,-32,-7,-0.04,-0.21,0.16999999999999998
52,11,-89,40,13,-79,-8.666666666666666,-8.666666666666666,0.0,59.21899094791205,50.94005191289943,8.27893903501262,-89,-79,-10,-0.46,-0.56,0.10000000000000003
49,21,-81,47,10,-68,-3.6666666666666665,-3.6666666666666665,0.0,55.864916440364325,47.932823363072984,7.932093077291341,-81,-68,-13,-0.58,-0.4,-0.17999999999999994
31,17,-37,24,9,-22,3.6666666666666665,3.6666666666666665,0.0,29.31817790306136,19.154343864744856,10.163834038316505,-37,-22,-15,-0.59,-0.4,-0.18999999999999995
88,16,-85,89,9,-79,6.333333333333333,6.333333333333333,0.0,70.95695095541302,68.61162842809924,2.345322527313783,-85,-79,-6,-0.2,-0.06,-0.14
50,11,-75,35,12,-61,-4.666666666666667,-4.666666666666667,0.0,52.21962168465881,40.92540639857946,11.29421528607935,-75,-61,-14,-0.42,-0.54,0.12000000000000005
47,10,-23,39,4,-9,11.333333333333334,11.333333333333334,0.0,28.592928418676454,20.270394394014364,8.32253402466209,-23,-9,-14,0.07,0.5,-0.43
69,27,-80,60,21,-65,5.333333333333333,5.333333333333333,0.0,62.728692708272575,52.21962168465881,10.509071023613764,-80,-65,-15,-0.48,-0.42,-0.06
78,18,-91,55,27,-77,1.6666666666666667,1.6666666666666667,0.0,69.95395310885266,56.78810517079161,13.165847938061049,-91,-77,-14,-0.34,-0.58,0.23999999999999994
71,31,-66,51,41,-56,12.0,12.0,0.0,57.52101065407897,48.25626038833372,9.26475026574525,-66,-56,-10,-0.46,-0.68,0.22000000000000003
72,19,-82,50,35,-76,3.0,3.0,0.0,63.88009601328623,56.19608527290847,7.684010740377758,-82,-76,-6,-0.36,-0.67,0.31000000000000005
68,5,-52,57,3,-39,7.0,7.0,0.0,49.01020301937138,39.293765408777,9.716437610594383,-52,-39,-13,0.06,0.15,-0.09
89,26,-88,86,18,-77,9.0,9.0,0.0,73.25298628724975,66.8480864847055,6.40489980254425,-88,-77,-11,-0.34,-0.2,-0.14
95,92,-47,96,85,-41,46.666666666666664,46.666666666666664,0.0,66.24365797736581,62.152143075592235,4.091514901773579,-47,-41,-6,-0.71,-0.69,-0.020000000000000018
88,63,-75,82,56,-62,25.333333333333332,25.333333333333332,0.0,71.67674347761313,62.659574066715635,9.017169410897495,-75,-62,-13,-0.64,-0.62,-0.020000000000000018
59,53,-78,83,17,-66,11.333333333333334,11.333333333333334,0.0,63.2156801926723,60.96082530791576,2.25485488475654,-78,-66,-12,-0.7,-0.14,-0.5599999999999999
64,31,-96,66,15,-82,-0.3333333333333333,-0.3333333333333333,0.0,68.97503574160405,61.38584708401622,7.589188657587826,-96,-82,-14,-0.59,-0.36,-0.22999999999999998
96,36,-51,70,57,-46,27.0,27.0,0.0,60.34898507845845,51.89091121445707,8.458073864001378,-51,-46,-5,-0.22,-0.67,0.45000000000000007
66,23,-16,67,8,-2,24.333333333333332,24.333333333333332,0.0,33.48963355361709,30.44484995674784,3.044783596869248,-16,-2,-14,0.06,0.65,-0.5900000000000001
83,78,-81,84,64,-68,26.666666666666668,26.666666666666668,0.0,76.15919000502974,67.43556595414289,8.723624050886855,-81,-68,-13,-0.7,-0.66,-0.039999999999999925
81,52,-75,99,20,-61,19.333333333333332,19.333333333333332,0.0,67.74625860928082,65.32142748661337,2.4248311226674417,-75,-61,-14,-0.61,-0.02,-0.59
55,53,-93,80,16,-81,5.0,5.0,0.0,69.30127463955239,66.18660488850193,3.1146697510504566,-93,-81,-12,-0.71,-0.24,-0.47
45,21,-80,34,17,-65,-4.666666666666667,-4.666666666666667,0.0,54.16230751690289,43.22293629801453,10.939371218888361,-80,-65,-15,-0.6,-0.63,0.030000000000000027
36,2,-88,23,4,-77,-16.666666666666668,-16.666666666666668,0.0,52.315283511502535,43.36152928832448,8.953754223178052,-88,-77,-11,-0.49,-0.61,0.12
94,15,-79,66,38,-74,10.0,10.0,0.0,70.7153920067383,60.486913185140025,10.228478821598273,-79,-74,-5,-0.11,-0.6,0.49
47,7,-22,35,11,-14,10.666666666666666,10.666666666666666,0.0,28.288199345702832,20.005554784164875,8.282644561537957,-22,-14,-8,0.19,-0.02,0.21
78,30,-91,49,45,-77,5.666666666666667,5.666666666666667,0.0,71.10711794343955,58.47696602556904,12.630151917870506,-91,-77,-14,-0.47,-0.7,0.22999999999999998
92,41,-44,88,37,-36,29.666666666666668,29.666666666666668,0.0,56.09713797413277,50.88767587103537,5.209462103097401,-44,-36,-8,-0.29,-0.21,-0.07999999999999999
56,42,-47,67,21,-37,17.0,17.0,0.0,45.614325235244536,42.551929059287865,3.062396175956671,-47,-37,-10,-0.66,-0.14,-0.52
93,24,-18,80,32,-13,33.0,33.0,0.0,45.760244754590204,37.97367509209505,7.786569662495154,-18,-13,-5,0.29,0.04,0.24999999999999997
98,43,-68,80,49,-56,24.333333333333332,24.333333333333332,0.0,69.04265992043534,58.1969835033474,10.845676417087944,-68,-56,-12,-0.39,-0.56,0.17000000000000004
93,18,-91,65,37,-82,6.666666666666667,6.666666666666667,0.0,75.54395335755794,63.730334657489095,11.813618700068844,-91,-82,-9,-0.22,-0.61,0.39
96,86,-42,87,81,-28,46.666666666666664,46.666666666666664,0.0,62.82957548444487,52.85409686633152,9.97547861811335,-42,-28,-14,-0.69,-0.7,0.010000000000000009
66,46,-70,67,36,-61,14.0,14.0,0.0,59.95553908244564,54.5221667458903,5.433372336555337,-70,-61,-9,-0.65,-0.54,-0.10999999999999999
89,71,-53,82,66,-41,35.666666666666664,35.666666666666664,0.0,63.12597634008435,54.60362218347383,8.522354156610518,-53,-41,-12,-0.66,-0.66,0.0
92,83,-30,91,79,-25,48.333333333333336,48.333333333333336,0.0,55.51176051572816,52.08539995899896,3.4263605567292004,-30,-25,-5,-0.69,-0.68,-0.009999999999999898
45,9,-67,28,20,-61,-4.333333333333333,-4.333333333333333,0.0,46.68571040003092,40.202266381663385,6.4834440183675355,-67,-61,-6,-0.41,-0.69,0.27999999999999997
73,37,-44,70,29,-33,22.0,22.0,0.0,48.92851929090027,42.339894504670966,6.588624786229303,-44,-33,-11,-0.43,-0.24,-0.19
85,17,-93,49,40,-80,3.0,3.0,0.0,73.33939368897637,58.80476171195663,14.534631977019743,-93,-80,-13,-0.28,-0.69,0.4099999999999999
81,3,-92,64,13,-85,-2.6666666666666665,-2.6666666666666665,0.0,70.74052743811161,61.829514706884844,8.91101273122677,-92,-85,-7,-0.12,-0.36,0.24
73,45,-63,77,27,-49,18.333333333333332,18.333333333333332,0.0,58.63635580612272,51.803045813499764,6.833309992622958,-63,-49,-14,-0.59,-0.25,-0.33999999999999997
98,35,-60,80,40,-47,24.333333333333332,24.333333333333332,0.0,64.94270979529232,53.01781671182706,11.924893083465257,-60,-47,-13,-0.24,-0.42,0.18
74,25,-68,79,10,-58,10.333333333333334,10.333333333333334,0.0,58.89161419270338,55.93051244376563,2.9611017489377502,-68,-58,-10,-0.36,0.01,-0.37
