model,elpd_diff,se_diff,p_worse,diag_diff,diag_elpd,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
fit_model_2_2,0,0,NA,,1 k_psis > 0.7,-7275.08,74.39,311.2,7.88,14550.17,148.78
fit_model_2_0,-18.23,8.99,0.98,,1 k_psis > 0.7,-7293.32,74.51,241.73,6.62,14586.63,149.03
fit_model_2_3,-80.26,14.25,1,,4 k_psis > 0.7,-7355.34,75.03,343.19,8.73,14710.69,150.06
fit_model_1_2,-110.63,16.49,1,,3 k_psis > 0.7,-7385.71,73.99,298.23,8.34,14771.42,147.98
fit_model_3_1,-116.14,21.98,1,,1 k_psis > 0.7,-7391.23,73.7,303.08,7.37,14782.45,147.4
fit_model_2_1,-116.91,17.33,1,,15 k_psis > 0.7,-7391.99,74.85,276.9,7.68,14783.98,149.71
fit_model_3_0,-154.6,23.24,1,,1 k_psis > 0.7,-7429.69,74.17,224.91,5.79,14859.37,148.33
fit_model_1_0,-158.38,19.95,1,,1 k_psis > 0.7,-7433.46,74.08,227.25,6.46,14866.92,148.16
fit_model_1_3,-313.6,28.83,1,,116 k_psis > 0.7,-7588.69,76.6,397.54,14.26,15177.37,153.2
fit_model_1_1,-411.4,32.82,1,,77 k_psis > 0.7,-7686.48,78.11,339.07,15.94,15372.96,156.22
