model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
model7,0,0,-7278.72,74.45,319.53,8.08,14557.43,148.9
model5,-19.85,8.69,-7298.57,74.42,247.44,6.74,14597.13,148.84
model8,-103.12,15.39,-7381.84,75.08,361.92,9.11,14763.67,150.17
model3,-107.21,17.82,-7385.93,73.99,296.94,8.22,14771.86,147.98
model10,-115.87,22.15,-7394.58,73.86,288.83,7.45,14789.16,147.72
model9,-135.01,22.7,-7413.72,74.18,226.79,5.78,14827.44,148.36
model6,-142.69,18.16,-7421.4,74.56,290.18,7.42,14842.8,149.12
model1,-154.74,20.78,-7433.46,74.08,227.25,6.46,14866.92,148.16
model4,-311.19,29.23,-7589.9,76.54,399.76,13.98,15179.81,153.09
model2,-407.76,33.25,-7686.48,78.11,339.07,15.94,15372.96,156.22
