outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check
35,19,-36,66,5,-26,6.0,15.0,-9.0,30.40833219146796,38.21866908549625,-7.810336894028293,-36,-26,-10,-0.56,0.37,-0.93,new,False
45,40,-49,77,30,-44,12.0,21.0,-9.0,43.18178628387977,49.80629143659129,-6.624505152711521,-49,-44,-5,-0.7,-0.27,-0.4299999999999999,new,False
41,39,-29,73,26,-21,17.0,26.0,-9.0,32.53715824509981,38.37533930360313,-5.8381810585033165,-29,-21,-8,-0.71,0.0,-0.71,new,False
62,43,-86,99,27,-80,6.333333333333333,15.333333333333334,-9.0,65.74867975015839,73.54061613980551,-7.79193638964712,-86,-80,-6,-0.66,-0.23,-0.43,new,False
40,34,-14,62,29,-4,20.0,29.0,-9.0,24.166091947189145,26.94438717061496,-2.7782952234258147,-14,-4,-10,-0.67,0.0,-0.67,new,False
67,58,-29,93,49,-19,32.0,41.0,-9.0,43.28972164382672,46.07240678178932,-2.782685137962595,-29,-19,-10,-0.68,-0.26,-0.42,new,False
38,17,-31,62,16,-27,8.0,17.0,-9.0,28.879058156387305,36.34097778908359,-7.461919632696286,-31,-27,-4,-0.44,0.04,-0.48,new,False
32,24,-44,60,15,-36,4.0,13.0,-9.0,34.09789827345179,39.21734310225516,-5.119444828803367,-44,-36,-8,-0.68,-0.08,-0.6000000000000001,new,False
37,15,-44,59,10,-34,2.6666666666666665,11.666666666666666,-9.0,34.198765409814946,37.985377303495206,-3.7866118936802593,-44,-34,-10,-0.49,0.07,-0.56,new,False
45,26,-62,73,18,-55,3.0,12.0,-9.0,46.611872593435535,52.42772803266099,-5.815855439225452,-62,-55,-7,-0.62,-0.17,-0.4499999999999999,new,False
38,36,-51,71,20,-41,7.666666666666667,16.666666666666668,-9.0,41.49163235588057,45.784519460427035,-4.292887104546466,-51,-41,-10,-0.71,-0.11,-0.6,new,False
49,45,-36,87,24,-26,19.333333333333332,28.333333333333332,-9.0,39.16063783387032,46.233705838441665,-7.073068004571347,-36,-26,-10,-0.7,0.14,-0.84,new,False
59,34,-23,76,30,-18,23.333333333333332,29.333333333333332,-6.0,34.315529364349835,38.378234572331344,-4.062705207981509,-23,-18,-5,-0.44,-0.03,-0.41,new,False
72,24,-26,91,16,-19,23.333333333333332,29.333333333333332,-6.0,40.01110956832975,45.88633299312068,-5.875223424790931,-26,-19,-7,-0.02,0.41,-0.43,new,False
76,31,-39,96,19,-29,22.666666666666668,28.666666666666668,-6.0,47.3168985552613,51.486783633170255,-4.169885077908958,-39,-29,-10,-0.26,0.28,-0.54,new,False
56,49,-15,84,31,-7,30.0,36.0,-6.0,31.94787421201396,37.31844941401862,-5.370575202004662,-15,-7,-8,-0.68,0.2,-0.8800000000000001,new,False
58,27,-28,78,17,-20,19.0,25.0,-6.0,35.56215216584433,40.40627014049511,-4.8441179746507785,-28,-20,-8,-0.33,0.29,-0.62,new,False
62,41,-30,88,24,-21,24.333333333333332,30.333333333333332,-6.0,39.364394515292055,44.72384400096018,-5.359449485668122,-30,-21,-9,-0.56,0.21,-0.77,new,False
62,44,-43,91,27,-37,21.0,27.0,-6.0,45.8475735453906,52.255781179374466,-6.408207633983864,-43,-37,-6,-0.63,0.0,-0.63,new,False
44,31,-57,70,16,-50,6.0,12.0,-6.0,44.86275366789991,49.07137658554119,-4.208622917641279,-57,-50,-7,-0.66,-0.12,-0.54,new,False
68,60,-38,99,37,-28,30.0,36.0,-6.0,48.194052191807515,51.85235449491823,-3.658302303110716,-38,-28,-10,-0.69,-0.03,-0.6599999999999999,new,False
59,30,-17,77,20,-7,24.0,30.0,-6.0,31.31559781748812,35.014282800023196,-3.6986849825350774,-17,-7,-10,-0.28,0.41,-0.69,new,False
43,31,-49,75,8,-40,8.333333333333334,14.333333333333334,-6.0,40.83571421630281,47.16166051171462,-6.325946295411811,-49,-40,-9,-0.66,0.2,-0.8600000000000001,new,False
42,23,-11,63,18,-9,18.0,24.0,-6.0,21.924111536540465,29.69848480983499,-7.774373273294529,-11,-9,-2,-0.33,0.29,-0.62,new,False
56,39,-80,86,11,-73,5.0,8.0,-3.0,60.50344342817743,64.94613152451807,-4.442688096340639,-80,-73,-7,-0.67,-0.07,-0.6000000000000001,new,False
74,29,-58,96,13,-55,15.0,18.0,-3.0,54.7905101272109,61.746794788609606,-6.956284661398705,-58,-55,-3,-0.37,0.12,-0.49,new,False
51,25,-16,72,5,-8,20.0,23.0,-3.0,27.58018612458347,35.05234181430203,-7.472155689718562,-16,-8,-8,-0.27,0.63,-0.9,new,False
73,32,-44,95,17,-42,20.333333333333332,23.333333333333332,-3.0,48.472214262972926,56.10902086315731,-7.636806600184386,-44,-42,-2,-0.35,0.17,-0.52,new,False
66,55,-73,97,23,-63,16.0,19.0,-3.0,63.09252464964979,65.38093503970914,-2.2884103900593544,-73,-63,-10,-0.69,-0.09,-0.6,new,False
