outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
48,33,-19,78,16,-5,20.666666666666668,29.666666666666668,-9.0,28.709270666845967,35.23571420527127,-6.526443538425305,-19,-5,-14,-0.57,0.52,-1.0899999999999999
52,23,-68,83,6,-55,2.3333333333333335,11.333333333333334,-9.0,51.12294548982438,56.46434469842205,-5.341399208597672,-68,-55,-13,-0.54,0.14,-0.68
35,19,-36,66,5,-26,6.0,15.0,-9.0,30.40833219146796,38.21866908549625,-7.810336894028293,-36,-26,-10,-0.56,0.37,-0.93
37,20,-39,67,12,-34,6.0,15.0,-9.0,32.567877834864625,41.28760911782937,-8.719731282964744,-39,-34,-5,-0.57,0.11,-0.6799999999999999
55,52,-51,97,30,-44,18.666666666666668,27.666666666666668,-9.0,49.27699485786671,57.586649687425144,-8.309654829558433,-51,-44,-7,-0.71,-0.06,-0.6499999999999999
72,42,-18,91,39,-7,32.0,41.0,-9.0,37.416573867739416,40.033319456006474,-2.616745588267058,-18,-7,-11,-0.38,0.07,-0.45
45,40,-49,77,30,-44,12.0,21.0,-9.0,43.18178628387977,49.80629143659129,-6.624505152711521,-49,-44,-5,-0.7,-0.27,-0.42999999999999994
53,43,-60,96,16,-49,12.0,21.0,-9.0,51.07510809255979,59.301489582190655,-8.226381489630867,-60,-49,-11,-0.69,0.13,-0.82
64,27,-46,92,23,-43,15.0,24.0,-9.0,45.70193285482209,55.11805511808268,-9.41612226326059,-46,-43,-3,-0.38,0.03,-0.41000000000000003
41,39,-29,73,26,-21,17.0,26.0,-9.0,32.53715824509981,38.37533930360313,-5.8381810585033165,-29,-21,-8,-0.71,0.0,-0.71
45,34,-78,86,6,-64,0.3333333333333333,9.333333333333334,-9.0,55.571775410024664,61.28258770283412,-5.710812292809457,-78,-64,-14,-0.69,0.08,-0.7699999999999999
62,43,-86,99,27,-80,6.333333333333333,15.333333333333334,-9.0,65.74867975015839,73.54061613980551,-7.79193638964712,-86,-80,-6,-0.66,-0.23,-0.43000000000000005
40,34,-14,62,29,-4,20.0,29.0,-9.0,24.166091947189145,26.94438717061496,-2.7782952234258147,-14,-4,-10,-0.67,0.0,-0.67
67,58,-29,93,49,-19,32.0,41.0,-9.0,43.289721643826724,46.07240678178932,-2.782685137962595,-29,-19,-10,-0.68,-0.26,-0.42000000000000004
38,17,-31,62,16,-27,8.0,17.0,-9.0,28.879058156387302,36.34097778908359,-7.461919632696286,-31,-27,-4,-0.44,0.04,-0.48
32,24,-44,60,15,-36,4.0,13.0,-9.0,34.09789827345179,39.21734310225516,-5.119444828803367,-44,-36,-8,-0.68,-0.08,-0.6000000000000001
21,13,-23,50,4,-16,3.6666666666666665,12.666666666666666,-9.0,19.136933459209764,27.632509034750278,-8.495575575540514,-23,-16,-7,-0.62,0.44,-1.06
37,15,-44,59,10,-34,2.6666666666666665,11.666666666666666,-9.0,34.198765409814946,37.985377303495206,-3.7866118936802593,-44,-34,-10,-0.49,0.07,-0.56
45,20,-23,75,9,-15,14.0,23.0,-9.0,28.083209693100727,38.05259518088089,-9.969385487780166,-23,-15,-8,-0.31,0.5,-0.81
72,26,-17,90,23,-5,27.0,36.0,-9.0,36.34097778908359,39.85808157283372,-3.51710378375013,-17,-5,-12,0.04,0.45,-0.41000000000000003
45,26,-62,73,18,-55,3.0,12.0,-9.0,46.611872593435535,52.42772803266099,-5.815855439225452,-62,-55,-7,-0.62,-0.17,-0.44999999999999996
38,36,-51,71,20,-41,7.666666666666667,16.666666666666668,-9.0,41.49163235588057,45.784519460427035,-4.292887104546466,-51,-41,-10,-0.71,-0.11,-0.6
50,22,-13,76,18,-8,19.666666666666668,28.666666666666668,-9.0,25.77250904010361,35.11251755270318,-9.34000851259957,-13,-8,-5,-0.14,0.43,-0.5700000000000001
70,25,-29,99,9,-15,22.0,31.0,-9.0,40.47221268969612,49.07137658554119,-8.599163895845066,-29,-15,-14,-0.11,0.58,-0.69
49,45,-36,87,24,-26,19.333333333333332,28.333333333333332,-9.0,39.16063783387032,46.233705838441665,-7.073068004571347,-36,-26,-10,-0.7,0.14,-0.84
