outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
51,43,-16,78,41,-14,26.0,35.0,-9.0,29.87752778706208,37.797707161502096,-7.920179374440018,-16,-14,-2,-0.67,-0.23,-0.44000000000000006
61,32,-30,89,23,-22,21.0,30.0,-9.0,37.95611501018863,45.58508528016593,-7.6289702699772945,-30,-22,-8,-0.41,0.23,-0.64
50,21,-55,80,11,-48,5.333333333333333,14.333333333333334,-9.0,44.274396915398206,52.30891149911478,-8.034514583716572,-55,-48,-7,-0.49,0.1,-0.59
68,18,-71,94,10,-62,5.0,14.0,-9.0,57.48623023530649,63.74950980203691,-6.263279566730418,-71,-62,-9,-0.33,0.09,-0.42000000000000004
43,17,-45,72,4,-34,5.0,14.0,-9.0,36.914315199752345,43.84822307308093,-6.933907873328586,-45,-34,-11,-0.45,0.33,-0.78
49,25,-32,82,10,-23,14.0,23.0,-9.0,33.97057550292606,43.840620433565945,-9.870044930639885,-32,-23,-9,-0.45,0.42,-0.87
50,12,-61,81,2,-55,0.3333333333333333,9.333333333333334,-9.0,46.060346889223005,55.76338902501852,-9.703042135795513,-61,-55,-6,-0.36,0.19,-0.55
74,33,-32,94,35,-27,25.0,34.0,-9.0,43.642486944108335,49.4031038161234,-5.7606168720150634,-32,-27,-5,-0.27,-0.03,-0.24000000000000002
53,5,-55,74,7,-51,1.0,10.0,-9.0,44.181444068749045,51.07510809255979,-6.893664023810743,-55,-51,-4,-0.14,0.09,-0.23
35,28,-30,72,13,-25,11.0,20.0,-9.0,29.13188402192118,39.9082280572148,-10.776344035293619,-30,-25,-5,-0.68,0.26,-0.9400000000000001
59,26,-23,79,30,-20,20.666666666666668,29.666666666666668,-9.0,33.68811198166037,40.41726803676314,-6.72915605510277,-23,-20,-3,-0.23,-0.01,-0.22
41,30,-58,60,35,-55,4.333333333333333,13.333333333333334,-9.0,44.304501903180096,49.385107966763506,-5.08060606358341,-58,-55,-3,-0.67,-0.57,-0.10000000000000009
54,44,-80,91,19,-65,6.0,15.0,-9.0,60.94806532341011,63.74950980203691,-2.8014444786267987,-80,-65,-15,-0.69,-0.09,-0.6
52,47,-90,84,32,-80,3.0,12.0,-9.0,65.79260343432738,68.43001290856715,-2.6374094742397745,-90,-80,-10,-0.7,-0.41,-0.29
56,44,-87,94,19,-73,4.333333333333333,13.333333333333334,-9.0,64.76796190161375,68.29511126151141,-3.5271493598976633,-87,-73,-14,-0.69,-0.12,-0.57
59,51,-41,93,37,-34,23.0,32.0,-9.0,45.37253207246281,51.96793883411836,-6.595406761655546,-41,-34,-7,-0.69,-0.14,-0.5499999999999999
51,28,-31,78,20,-23,16.0,25.0,-9.0,34.53500639447844,41.38437708443449,-6.849370689956054,-31,-23,-8,-0.48,0.18,-0.6599999999999999
68,7,-23,94,1,-16,17.333333333333332,26.333333333333332,-9.0,37.86232369461172,48.3482735529983,-10.485949858386583,-23,-16,-7,0.39,0.64,-0.25
75,37,-61,91,45,-58,17.0,26.0,-9.0,57.29456053297439,62.294997123899655,-5.000436590925268,-61,-58,-3,-0.48,-0.43,-0.04999999999999999
71,53,-68,87,62,-66,18.666666666666668,27.666666666666668,-9.0,61.721597156550935,67.01409470319575,-5.292497546644817,-68,-66,-2,-0.66,-0.63,-0.030000000000000027
58,33,-82,74,38,-76,3.0,12.0,-9.0,60.964470527239605,63.93746945258312,-2.972998925343518,-82,-76,-6,-0.62,-0.54,-0.07999999999999996
46,43,-23,82,25,-14,22.0,31.0,-9.0,31.843366656181317,39.42080668885405,-7.577440032672733,-23,-14,-9,-0.7,0.22,-0.9199999999999999
72,28,-46,91,34,-44,18.0,27.0,-9.0,48.68949236402724,55.33534132902769,-6.645848965000454,-46,-44,-2,-0.3,-0.19,-0.10999999999999999
58,23,-65,80,17,-54,5.333333333333333,14.333333333333334,-9.0,51.74510175422941,54.73775865179558,-2.992656897566171,-65,-54,-11,-0.47,-0.07,-0.39999999999999997
72,62,-10,99,53,-1,41.333333333333336,50.333333333333336,-9.0,36.527006751473934,40.86835233065094,-4.341345579177009,-10,-1,-9,-0.67,-0.1,-0.5700000000000001
48,43,-75,90,22,-69,5.333333333333333,14.333333333333334,-9.0,56.840908586060515,65.13746148637425,-8.296552900313735,-75,-69,-6,-0.7,-0.17,-0.5299999999999999
33,22,-31,61,19,-29,8.0,17.0,-9.0,27.94041278626117,36.76955262170047,-8.8291398354393,-31,-29,-2,-0.63,-0.08,-0.55
55,23,-29,79,24,-27,16.333333333333332,25.333333333333332,-9.0,34.61534662865912,43.28458796795409,-8.66924133929497,-29,-27,-2,-0.28,0.05,-0.33
60,34,-88,93,15,-75,2.0,11.0,-9.0,64.51873113032111,68.64400920692205,-4.125278076600935,-88,-75,-13,-0.62,-0.09,-0.53
71,27,-86,88,35,-84,4.0,13.0,-9.0,66.1261420821347,71.92125323342654,-5.7951111512918345,-86,-84,-2,-0.48,-0.43,-0.04999999999999999
79,16,-28,97,17,-20,22.333333333333332,31.333333333333332,-9.0,43.91152721350309,48.82849805413046,-4.916970840627371,-28,-20,-8,0.21,0.42,-0.21
47,46,-75,84,22,-61,6.0,15.0,-9.0,57.27710420985567,59.40258131316068,-2.125477103305009,-75,-61,-14,-0.71,-0.18,-0.53
42,31,-63,83,8,-54,3.3333333333333335,12.333333333333334,-9.0,47.11923410054775,56.013887166983466,-8.894653066435716,-63,-54,-9,-0.68,0.12,-0.8
42,37,-62,81,18,-55,5.666666666666667,14.666666666666666,-9.0,47.89108012517108,55.57177541002467,-7.680695284853591,-62,-55,-7,-0.7,-0.09,-0.61
71,13,-45,88,18,-40,13.0,22.0,-9.0,47.35680169380811,52.33227175144097,-4.975470057632862,-45,-40,-5,0.0,0.11,-0.11
48,19,-40,64,22,-32,9.0,18.0,-9.0,36.615115275889366,39.293765408777,-2.6786501328876327,-40,-32,-8,-0.39,-0.15,-0.24000000000000002
65,10,-62,90,1,-51,4.333333333333333,13.333333333333334,-9.0,52.0021367082375,58.2198896903417,-6.2177529821042015,-62,-51,-11,-0.16,0.31,-0.47
17,15,-21,40,7,-9,3.6666666666666665,12.666666666666666,-9.0,17.46106780494506,20.401524997465806,-2.9404571925207463,-21,-9,-12,-0.7,0.4,-1.1
62,37,-3,90,34,-1,32.0,41.0,-9.0,26.770630673681683,37.47888294315436,-10.708252269472677,-3,-1,-2,-0.27,0.27,-0.54
65,39,-51,84,38,-42,17.666666666666668,26.666666666666668,-9.0,49.701330185642135,52.0597946809457,-2.358464495303565,-51,-42,-9,-0.56,-0.32,-0.24000000000000005
57,40,-28,84,35,-23,23.0,32.0,-9.0,36.72419729097788,43.734044709661454,-7.009847418683577,-28,-23,-5,-0.6,-0.1,-0.5
66,55,-70,95,50,-67,17.0,26.0,-9.0,61.68198008062538,68.27884006044626,-6.596859979820877,-70,-67,-3,-0.69,-0.48,-0.20999999999999996
57,50,-42,70,59,-37,21.666666666666668,30.666666666666668,-9.0,45.10974272691975,48.05783552715993,-2.9480928002401825,-42,-37,-5,-0.69,-0.68,-0.009999999999999898
56,46,-47,92,25,-35,18.333333333333332,27.333333333333332,-9.0,46.37767662236745,51.87377843273891,-5.4961018103714565,-47,-35,-12,-0.68,0.07,-0.75
33,14,-25,56,3,-10,7.333333333333333,16.333333333333332,-9.0,24.14309194964243,28.546258754675524,-4.403166805033095,-25,-10,-15,-0.39,0.6,-0.99
68,22,-72,90,16,-61,6.0,15.0,-9.0,58.26376804384236,61.649547173249104,-3.3857791294067425,-72,-61,-11,-0.39,-0.02,-0.37
83,65,-95,96,73,-89,17.666666666666668,26.666666666666668,-9.0,80.0055553626677,82.32591059657679,-2.3203552339090834,-95,-89,-6,-0.68,-0.67,-0.010000000000000009
68,56,-37,94,53,-33,29.0,38.0,-9.0,46.92547282660026,52.92132525425517,-5.99585242765491,-37,-33,-4,-0.67,-0.4,-0.27
77,75,-86,97,76,-80,22.0,31.0,-9.0,76.37189710008956,78.95568377260753,-2.5837866725179737,-86,-80,-6,-0.71,-0.67,-0.039999999999999925
40,24,-22,70,18,-19,14.0,23.0,-9.0,26.280537792569366,36.5057073163453,-10.225169523775936,-22,-19,-3,-0.52,0.2,-0.72
47,20,-37,78,14,-35,10.0,19.0,-9.0,35.014282800023196,46.26733909213568,-11.253056292112483,-37,-35,-2,-0.41,0.16,-0.57
73,13,-20,91,11,-9,22.0,31.0,-9.0,38.49675310984031,43.20493798938573,-4.708184879545421,-20,-9,-11,0.34,0.6,-0.25999999999999995
48,43,-89,77,36,-84,0.6666666666666666,9.666666666666666,-9.0,63.436757658491835,68.31463158715627,-4.877873928664435,-89,-84,-5,-0.7,-0.52,-0.17999999999999994
36,35,-13,77,10,-2,19.333333333333332,28.333333333333332,-9.0,22.866763848189994,34.75949110994323,-11.892727261753233,-13,-2,-11,-0.71,0.64,-1.35
