outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check
38,17,-31,62,16,-27,8.0,17.0,-9.0,28.879058156387305,36.34097778908359,-7.461919632696286,-31,-27,-4,-0.44,0.04,-0.48,new,False
32,24,-44,60,15,-36,4.0,13.0,-9.0,34.09789827345179,39.21734310225516,-5.119444828803367,-44,-36,-8,-0.68,-0.08,-0.6000000000000001,new,False
37,15,-44,59,10,-34,2.6666666666666665,11.666666666666666,-9.0,34.198765409814946,37.985377303495206,-3.7866118936802593,-44,-34,-10,-0.49,0.07,-0.56,new,False
45,26,-62,73,18,-55,3.0,12.0,-9.0,46.611872593435535,52.42772803266099,-5.815855439225452,-62,-55,-7,-0.62,-0.17,-0.4499999999999999,new,False
38,36,-51,71,20,-41,7.666666666666667,16.666666666666668,-9.0,41.49163235588057,45.784519460427035,-4.292887104546466,-51,-41,-10,-0.71,-0.11,-0.6,new,False
49,45,-36,87,24,-26,19.333333333333332,28.333333333333332,-9.0,39.16063783387032,46.233705838441665,-7.073068004571347,-36,-26,-10,-0.7,0.14,-0.84,new,False
62,44,-43,91,27,-37,21.0,27.0,-6.0,45.8475735453906,52.255781179374466,-6.408207633983864,-43,-37,-6,-0.63,0.0,-0.63,new,False
44,31,-57,70,16,-50,6.0,12.0,-6.0,44.86275366789991,49.07137658554119,-4.208622917641279,-57,-50,-7,-0.66,-0.12,-0.54,new,False
68,60,-38,99,37,-28,30.0,36.0,-6.0,48.194052191807515,51.85235449491823,-3.658302303110716,-38,-28,-10,-0.69,-0.03,-0.6599999999999999,new,False
59,30,-17,77,20,-7,24.0,30.0,-6.0,31.31559781748812,35.014282800023196,-3.6986849825350774,-17,-7,-10,-0.28,0.41,-0.69,new,False
43,31,-49,75,8,-40,8.333333333333334,14.333333333333334,-6.0,40.83571421630281,47.16166051171462,-6.325946295411811,-49,-40,-9,-0.66,0.2,-0.8600000000000001,new,False
42,23,-11,63,18,-9,18.0,24.0,-6.0,21.924111536540465,29.69848480983499,-7.774373273294529,-11,-9,-2,-0.33,0.29,-0.62,new,False
53,40,-78,88,6,-70,5.0,8.0,-3.0,58.92933621437345,64.51873113032111,-5.589394915947665,-78,-70,-8,-0.68,0.05,-0.7300000000000001,new,False
66,47,-58,95,21,-52,18.333333333333332,21.333333333333332,-3.0,54.53031776503376,60.01296156294535,-5.482643797911592,-58,-52,-6,-0.64,0.01,-0.65,new,False
54,34,-67,84,8,-62,7.0,10.0,-3.0,52.959103718498355,59.62102537416366,-6.661921655665303,-67,-62,-5,-0.63,0.05,-0.68,new,False
