outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check
67,11,-13,61,36,-5,21.666666666666668,30.666666666666668,-9.0,33.51948023993743,27.20702523654915,6.31245500338828,-13,-5,-8,0.45,-0.29,0.74,old,False
85,2,-81,57,52,-76,2.0,11.0,-9.0,67.76921621700126,61.55214591439251,6.217070302608747,-81,-76,-5,0.0,-0.7,0.7,old,False
88,17,-44,82,43,-37,20.333333333333332,29.333333333333332,-9.0,53.94029621308689,49.53337819648035,4.406918016606539,-44,-37,-7,0.09,-0.39,0.48,old,False
75,4,-67,57,43,-61,4.0,13.0,-9.0,57.97125724586855,52.63712251507169,5.334134730796862,-67,-61,-6,0.0,-0.67,0.67,old,False
80,2,-60,69,30,-50,7.333333333333333,16.333333333333332,-9.0,57.27904406402824,49.53337819648035,7.745665867547892,-60,-50,-10,0.14,-0.39,0.53,old,False
76,3,-64,59,38,-55,5.0,14.0,-9.0,57.17225434305234,49.53786430600334,7.634390037048995,-64,-55,-9,0.05,-0.61,0.66,old,False
92,2,-70,66,50,-65,8.0,17.0,-9.0,66.27216610312357,58.349521563305615,7.922644539817952,-70,-65,-5,0.14,-0.67,0.81,old,False
65,13,-18,61,36,-10,20.0,29.0,-9.0,34.2442209236342,29.40521495698793,4.839005966646273,-18,-10,-8,0.3,-0.34,0.64,old,False
82,11,-76,60,51,-67,5.666666666666667,14.666666666666666,-9.0,64.61338010728807,57.86382481501048,6.749555292277584,-76,-67,-9,-0.12,-0.69,0.57,old,False
91,22,-54,72,61,-47,19.666666666666668,28.666666666666668,-9.0,59.21899094791205,53.69254034676408,5.526450601147964,-54,-47,-7,-0.06,-0.68,0.6200000000000001,old,False
60,5,-41,53,30,-32,8.0,17.0,-9.0,41.28760911782937,35.89800365851375,5.389605459315618,-41,-32,-9,0.11,-0.5,0.61,old,False
48,3,-24,46,23,-15,9.0,18.0,-9.0,29.69848480983499,25.152865973217978,4.54561883661702,-24,-15,-9,0.29,-0.29,0.58,old,False
80,10,-63,59,46,-60,9.0,15.0,-6.0,58.38378770400792,53.29790489941107,5.085882804596849,-63,-60,-3,-0.03,-0.68,0.65,old,False
93,31,-8,70,68,-4,38.666666666666664,44.666666666666664,-6.0,41.58792559812951,34.4222150491349,7.1657105489946105,-8,-4,-4,0.27,-0.71,0.98,old,False
69,24,-23,60,43,-15,23.333333333333332,29.333333333333332,-6.0,37.56180092712394,32.10745846199741,5.45434246512653,-23,-15,-8,-0.03,-0.56,0.53,old,False
83,23,-56,70,49,-51,16.666666666666668,22.666666666666668,-6.0,56.92294987280809,52.79099249766847,4.131957375139621,-56,-51,-5,-0.17,-0.62,0.4499999999999999,old,False
67,19,-22,60,38,-16,21.333333333333332,27.333333333333332,-6.0,36.37153954521157,31.930480039541457,4.441059505670111,-22,-16,-6,0.1,-0.46,0.56,old,False
88,33,-10,73,59,-3,37.0,43.0,-6.0,40.10818702792071,33.0252428706689,7.082944157251809,-10,-3,-7,0.15,-0.61,0.76,old,False
99,52,-13,90,75,-9,46.0,52.0,-6.0,45.92022067310507,43.56604182158393,2.354178851521141,-13,-9,-4,-0.19,-0.64,0.45,old,False
82,31,-53,64,62,-48,20.0,26.0,-6.0,55.65968020030299,52.33227175144097,3.327408448862016,-53,-48,-5,-0.29,-0.71,0.42,old,False
48,21,-20,41,36,-10,16.333333333333332,22.333333333333332,-6.0,27.956315128349008,22.95406040091576,5.00225472743325,-20,-10,-10,-0.25,-0.68,0.43,old,False
56,8,-52,40,33,-43,4.0,10.0,-6.0,44.181444068749045,37.58545818087983,6.595985887869212,-52,-43,-9,-0.14,-0.69,0.5499999999999999,old,False
85,24,-45,67,54,-39,21.333333333333332,27.333333333333332,-6.0,53.1057644914582,47.204048790566915,5.9017157008912875,-45,-39,-6,-0.08,-0.67,0.5900000000000001,old,False
79,13,-40,74,33,-37,17.333333333333332,23.333333333333332,-6.0,48.678080853250115,45.82818152864264,2.8498993246074775,-40,-37,-3,0.13,-0.31,0.44,old,False
98,41,-24,75,68,-19,38.333333333333336,41.333333333333336,-3.0,49.84197249529981,42.7577153531643,7.084257142135506,-24,-19,-5,-0.08,-0.69,0.61,old,False
53,9,-17,37,30,-13,15.0,18.0,-3.0,28.890598240027263,22.105806175452337,6.78479206457493,-17,-13,-4,0.3,-0.65,0.95,old,False
53,8,-34,41,23,-28,9.0,12.0,-3.0,35.52463933666322,29.22327839240491,6.301360944258306,-34,-28,-6,0.04,-0.51,0.55,old,False
63,2,-47,49,23,-45,6.0,9.0,-3.0,44.99629614386796,39.6316371938716,5.364658949996361,-47,-45,-2,0.13,-0.49,0.62,old,False
55,15,-13,42,31,-7,19.0,22.0,-3.0,27.9045993819418,20.992061991778385,6.912537390163415,-13,-7,-6,0.21,-0.56,0.77,old,False
99,35,-16,88,50,-11,39.333333333333336,42.333333333333336,-3.0,47.04843839656695,40.778534658431376,6.269903738135575,-16,-11,-5,0.14,-0.28,0.42,old,False
59,9,-67,40,31,-61,0.3333333333333333,3.3333333333333335,-3.0,51.80304581349976,45.638677554119475,6.164368259380289,-67,-61,-6,-0.25,-0.69,0.4399999999999999,old,False
79,16,-61,58,42,-57,11.333333333333334,14.333333333333334,-3.0,57.24993934979805,50.861467624213205,6.388471725584843,-61,-57,-4,-0.12,-0.65,0.53,old,False
63,16,-47,44,40,-43,10.666666666666666,13.666666666666666,-3.0,45.065384597148274,40.10264607506869,4.96273852207959,-47,-43,-4,-0.18,-0.7,0.52,old,False
74,21,-46,56,42,-40,16.333333333333332,19.333333333333332,-3.0,49.100803342602134,42.34251868853445,6.758284654067687,-46,-40,-6,-0.14,-0.65,0.51,old,False
61,12,-35,44,34,-31,12.666666666666666,15.666666666666666,-3.0,39.19467083956978,33.2498955721,5.94477526746978,-35,-31,-4,0.03,-0.66,0.6900000000000001,old,False
96,19,-78,77,43,-74,12.333333333333334,15.333333333333334,-3.0,71.19144767612345,64.67525716136649,6.516190514756957,-78,-74,-4,-0.14,-0.56,0.42,old,False
77,25,-58,53,45,-54,14.666666666666666,14.666666666666666,0.0,55.59576322786557,48.66438350808754,6.931379719778029,-58,-54,-4,-0.27,-0.69,0.4199999999999999,old,False
92,60,-21,99,43,-11,43.666666666666664,43.666666666666664,0.0,47.55581516024676,44.90978611493144,2.6460290453153164,-21,-11,-10,-0.47,0.02,-0.49,old,False
64,24,-23,50,35,-20,21.666666666666668,21.666666666666668,0.0,35.55590277608237,30.092450142112984,5.463452633969386,-23,-20,-3,-0.1,-0.58,0.48,old,False
70,12,-66,45,34,-63,5.333333333333333,5.333333333333333,0.0,55.7215298505783,48.52719741432518,7.19433243625312,-66,-63,-3,-0.18,-0.68,0.5,old,False
66,31,-13,68,19,-3,28.0,28.0,0.0,32.321303604073066,29.676028485406647,2.6452751186664187,-13,-3,-10,-0.14,0.43,-0.5700000000000001,old,False
