outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
80,2,-60,69,30,-50,7.333333333333333,16.333333333333332,-9.0,57.27904406402824,49.53337819648035,7.745665867547892,-60,-50,-10,0.14,-0.39,0.53
65,13,-18,61,36,-10,20.0,29.0,-9.0,34.2442209236342,29.40521495698793,4.839005966646273,-18,-10,-8,0.3,-0.34,0.64
83,22,-46,61,59,-34,19.666666666666668,28.666666666666668,-9.0,52.689868307125444,44.319546728528515,8.37032157859693,-46,-34,-12,-0.07,-0.71,0.6399999999999999
60,5,-41,53,30,-32,8.0,17.0,-9.0,41.28760911782937,35.89800365851375,5.389605459315618,-41,-32,-9,0.11,-0.5,0.61
76,3,-64,59,38,-55,5.0,14.0,-9.0,57.17225434305234,49.53786430600334,7.634390037048995,-64,-55,-9,0.05,-0.61,0.66
64,8,-17,47,46,-11,18.333333333333332,27.333333333333332,-9.0,33.86574801903671,27.10883414846328,6.7569138705734275,-17,-11,-6,0.43,-0.71,1.14
75,4,-67,57,43,-61,4.0,13.0,-9.0,57.97125724586855,52.63712251507169,5.334134730796862,-67,-61,-6,0.0,-0.67,0.67
48,3,-24,46,23,-15,9.0,18.0,-9.0,29.698484809834994,25.152865973217974,4.54561883661702,-24,-15,-9,0.29,-0.29,0.58
67,11,-13,61,36,-5,21.666666666666668,30.666666666666668,-9.0,33.51948023993743,27.20702523654915,6.31245500338828,-13,-5,-8,0.45,-0.29,0.74
93,17,-8,83,47,-1,34.0,43.0,-9.0,42.949582846247374,34.40930106817051,8.540281778076867,-8,-1,-7,0.53,-0.17,0.7000000000000001
77,11,-36,58,47,-26,17.333333333333332,26.333333333333332,-9.0,46.34891824220089,37.27674282385138,9.07217541834951,-36,-26,-10,0.2,-0.66,0.8600000000000001
91,22,-54,72,61,-47,19.666666666666668,28.666666666666668,-9.0,59.21899094791205,53.69254034676408,5.526450601147964,-54,-47,-7,-0.06,-0.68,0.6200000000000001
92,2,-70,66,50,-65,8.0,17.0,-9.0,66.27216610312357,58.349521563305615,7.922644539817952,-70,-65,-5,0.14,-0.67,0.81
82,11,-76,60,51,-67,5.666666666666667,14.666666666666666,-9.0,64.61338010728807,57.86382481501048,6.749555292277584,-76,-67,-9,-0.12,-0.69,0.57
68,3,-49,46,41,-38,7.333333333333333,16.333333333333332,-9.0,47.86323107447813,38.473656210740124,9.389574863738005,-49,-38,-11,0.14,-0.7,0.84
85,2,-81,57,52,-76,2.0,11.0,-9.0,67.76921621700126,61.55214591439251,6.217070302608747,-81,-76,-5,0.0,-0.7,0.7
88,17,-44,82,43,-37,20.333333333333332,29.333333333333332,-9.0,53.94029621308689,49.53337819648035,4.406918016606539,-44,-37,-7,0.09,-0.39,0.48
94,33,-52,79,66,-43,25.0,34.0,-9.0,59.87208587202108,54.705270922157645,5.166814949863436,-52,-43,-9,-0.2,-0.68,0.48000000000000004
54,10,-13,53,29,-4,17.0,26.0,-9.0,27.796882319185844,23.366642891095847,4.4302394280899975,-13,-4,-9,0.36,-0.19,0.55
95,8,-91,82,45,-88,4.0,13.0,-9.0,75.98684096605149,72.99771685927352,2.9891241067779646,-91,-88,-3,-0.08,-0.57,0.48999999999999994
92,13,-69,68,58,-63,12.0,21.0,-9.0,65.7317782101372,59.53710327742412,6.19467493271307,-69,-63,-6,-0.02,-0.69,0.6699999999999999
