outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
57,2,-48,64,9,-35,3.6666666666666665,12.666666666666666,-9.0,42.88226776756203,40.49965706301995,2.382610704542074,-48,-35,-13,0.06,0.14,-0.08000000000000002
76,19,-23,83,26,-10,24.0,33.0,-9.0,40.570925550201586,38.28837943815329,2.282546112048294,-23,-10,-13,0.18,0.27,-0.09000000000000002
65,5,-63,69,13,-48,2.3333333333333335,11.333333333333334,-9.0,52.28979080300687,47.779586529070016,4.510204273936857,-63,-48,-15,-0.08,-0.05,-0.03
50,40,-80,63,41,-67,3.3333333333333335,12.333333333333334,-9.0,59.06681715556449,56.81157941437252,2.2552377411919764,-80,-67,-13,-0.69,-0.63,-0.05999999999999994
61,53,-95,78,48,-80,6.333333333333333,15.333333333333334,-9.0,71.72788083366807,68.51439427027157,3.2134865633965006,-95,-80,-15,-0.7,-0.61,-0.08999999999999997
78,29,-80,86,34,-66,9.0,18.0,-9.0,66.03534407169138,63.07667292007931,2.958671151612073,-80,-66,-14,-0.43,-0.36,-0.07
63,24,-32,72,28,-18,18.333333333333332,27.333333333333332,-9.0,38.9900272149459,36.745370078721784,2.244657136224113,-32,-18,-14,-0.21,-0.03,-0.18
87,53,-72,98,54,-57,22.666666666666668,31.666666666666668,-9.0,68.36340801595219,65.21928821717971,3.144119798772479,-72,-57,-15,-0.58,-0.47,-0.10999999999999999
72,56,-23,81,61,-10,35.0,44.0,-9.0,41.52910625894406,39.04698025029166,2.4821260086524006,-23,-10,-13,-0.63,-0.57,-0.06000000000000005
90,3,-45,97,10,-32,16.0,25.0,-9.0,55.87486017879597,53.72150407425317,2.1533561045428016,-45,-32,-13,0.34,0.4,-0.06
32,12,-39,37,19,-24,1.6666666666666667,10.666666666666666,-9.0,29.892399628593814,25.590796956892312,4.301602671701502,-39,-24,-15,-0.48,-0.45,-0.02999999999999997
93,4,-32,96,13,-17,21.666666666666668,30.666666666666668,-9.0,52.53781706753929,47.79353745248642,4.744279615052868,-32,-17,-15,0.47,0.5,-0.030000000000000027
88,18,-64,97,21,-49,14.0,23.0,-9.0,62.1181669615795,59.62102537416366,2.4971415874158396,-64,-49,-15,-0.1,0.05,-0.15000000000000002
89,11,-87,98,15,-73,4.333333333333333,13.333333333333334,-9.0,72.00617257491811,69.82040453111748,2.1857680438006355,-87,-73,-14,-0.14,-0.04,-0.1
64,18,-71,72,22,-56,3.6666666666666665,12.666666666666666,-9.0,56.037685732212594,52.67088590694315,3.366799825269446,-71,-56,-15,-0.37,-0.26,-0.10999999999999999
40,10,-46,51,11,-31,1.3333333333333333,10.333333333333334,-9.0,35.64017707899643,33.47967874530592,2.160498333690512,-46,-31,-15,-0.35,-0.03,-0.31999999999999995
60,49,-76,72,51,-63,11.0,20.0,-9.0,61.68198008062538,59.312730505347666,2.3692495752777134,-76,-63,-13,-0.69,-0.64,-0.04999999999999993
