outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check
67,11,-13,61,36,-5,21.666666666666668,30.666666666666668,-9.0,33.51948023993743,27.20702523654915,6.31245500338828,-13,-5,-8,0.45,-0.29,0.74,old,False
85,2,-81,57,52,-76,2.0,11.0,-9.0,67.76921621700126,61.55214591439251,6.217070302608747,-81,-76,-5,0.0,-0.7,0.7,old,False
88,17,-44,82,43,-37,20.333333333333332,29.333333333333332,-9.0,53.94029621308689,49.53337819648035,4.406918016606539,-44,-37,-7,0.09,-0.39,0.48,old,False
75,4,-67,57,43,-61,4.0,13.0,-9.0,57.97125724586855,52.63712251507169,5.334134730796862,-67,-61,-6,0.0,-0.67,0.67,old,False
80,2,-60,69,30,-50,7.333333333333333,16.333333333333332,-9.0,57.27904406402824,49.53337819648035,7.745665867547892,-60,-50,-10,0.14,-0.39,0.53,old,False
76,3,-64,59,38,-55,5.0,14.0,-9.0,57.17225434305234,49.53786430600334,7.634390037048995,-64,-55,-9,0.05,-0.61,0.66,old,False
80,10,-63,59,46,-60,9.0,15.0,-6.0,58.38378770400792,53.29790489941107,5.085882804596849,-63,-60,-3,-0.03,-0.68,0.65,old,False
93,31,-8,70,68,-4,38.666666666666664,44.666666666666664,-6.0,41.58792559812951,34.4222150491349,7.1657105489946105,-8,-4,-4,0.27,-0.71,0.98,old,False
69,24,-23,60,43,-15,23.333333333333332,29.333333333333332,-6.0,37.56180092712394,32.10745846199741,5.45434246512653,-23,-15,-8,-0.03,-0.56,0.53,old,False
83,23,-56,70,49,-51,16.666666666666668,22.666666666666668,-6.0,56.92294987280809,52.79099249766847,4.131957375139621,-56,-51,-5,-0.17,-0.62,0.4499999999999999,old,False
67,19,-22,60,38,-16,21.333333333333332,27.333333333333332,-6.0,36.37153954521157,31.930480039541457,4.441059505670111,-22,-16,-6,0.1,-0.46,0.56,old,False
88,33,-10,73,59,-3,37.0,43.0,-6.0,40.10818702792071,33.0252428706689,7.082944157251809,-10,-3,-7,0.15,-0.61,0.76,old,False
98,41,-24,75,68,-19,38.333333333333336,41.333333333333336,-3.0,49.84197249529981,42.7577153531643,7.084257142135506,-24,-19,-5,-0.08,-0.69,0.61,old,False
53,9,-17,37,30,-13,15.0,18.0,-3.0,28.890598240027263,22.105806175452337,6.78479206457493,-17,-13,-4,0.3,-0.65,0.95,old,False
53,8,-34,41,23,-28,9.0,12.0,-3.0,35.52463933666322,29.22327839240491,6.301360944258306,-34,-28,-6,0.04,-0.51,0.55,old,False
63,2,-47,49,23,-45,6.0,9.0,-3.0,44.99629614386796,39.6316371938716,5.364658949996361,-47,-45,-2,0.13,-0.49,0.62,old,False
55,15,-13,42,31,-7,19.0,22.0,-3.0,27.9045993819418,20.992061991778385,6.912537390163415,-13,-7,-6,0.21,-0.56,0.77,old,False
99,35,-16,88,50,-11,39.333333333333336,42.333333333333336,-3.0,47.04843839656695,40.778534658431376,6.269903738135575,-16,-11,-5,0.14,-0.28,0.42,old,False
77,25,-58,53,45,-54,14.666666666666666,14.666666666666666,0.0,55.59576322786557,48.66438350808754,6.931379719778029,-58,-54,-4,-0.27,-0.69,0.4199999999999999,old,False
92,60,-21,99,43,-11,43.666666666666664,43.666666666666664,0.0,47.55581516024676,44.90978611493144,2.6460290453153164,-21,-11,-10,-0.47,0.02,-0.49,old,False
64,24,-23,50,35,-20,21.666666666666668,21.666666666666668,0.0,35.55590277608237,30.092450142112984,5.463452633969386,-23,-20,-3,-0.1,-0.58,0.48,old,False
70,12,-66,45,34,-63,5.333333333333333,5.333333333333333,0.0,55.7215298505783,48.52719741432518,7.19433243625312,-66,-63,-3,-0.18,-0.68,0.5,old,False
66,31,-13,68,19,-3,28.0,28.0,0.0,32.321303604073066,29.676028485406647,2.6452751186664187,-13,-3,-10,-0.14,0.43,-0.5700000000000001,old,False
95,48,-30,71,67,-25,37.666666666666664,37.666666666666664,0.0,51.551484513596264,44.34210439550904,7.209380118087225,-30,-25,-5,-0.29,-0.7,0.41,old,False
91,75,-12,94,55,-4,51.333333333333336,48.333333333333336,3.0,45.25728916121935,40.28509512076258,4.97219404045677,-12,-4,-8,-0.64,-0.24,-0.4,old,False
91,67,-10,95,46,-2,49.333333333333336,46.333333333333336,3.0,43.083897481799646,39.60078562632593,3.483111855473716,-10,-2,-8,-0.55,0.01,-0.56,old,False
93,58,-8,94,41,-1,47.666666666666664,44.666666666666664,3.0,41.87547678003864,38.87015421745698,3.005322562581661,-8,-1,-7,-0.36,0.14,-0.5,old,False
99,51,-13,95,36,-3,45.666666666666664,42.666666666666664,3.0,45.87906809089401,40.28509512076258,5.593972970131432,-13,-3,-10,-0.17,0.24,-0.41,old,False
83,50,-11,85,29,-1,40.666666666666664,37.666666666666664,3.0,38.93869826049944,35.64017707899642,3.29852118150302,-11,-1,-10,-0.35,0.35,-0.7,old,False
80,72,-12,88,45,-2,46.666666666666664,43.666666666666664,3.0,41.61196409153929,36.75444039689475,4.8575236946445415,-12,-2,-10,-0.69,-0.05,-0.6399999999999999,old,False
81,24,-16,74,4,-7,29.666666666666668,23.666666666666668,6.0,39.80228915806504,35.87323359956402,3.9290555585010263,-16,-7,-9,0.21,0.66,-0.45,old,False
74,43,-22,76,14,-13,31.666666666666668,25.666666666666668,6.0,40.00277768133386,37.2588542795162,2.7439234018176606,-22,-13,-9,-0.4,0.44,-0.8400000000000001,old,False
93,64,-10,95,40,-6,49.0,43.0,6.0,43.36665385600631,41.28760911782937,2.0790447381769397,-10,-6,-4,-0.48,0.11,-0.59,old,False
61,54,-82,79,11,-75,11.0,5.0,6.0,65.82299496883036,63.01322612489117,2.809768843939189,-82,-75,-7,-0.7,-0.14,-0.5599999999999999,old,False
94,70,-40,98,38,-30,41.333333333333336,35.333333333333336,6.0,58.33999961909115,52.28979080300688,6.050208816084272,-40,-30,-10,-0.62,-0.08,-0.54,old,False
56,42,-72,65,9,-66,8.666666666666666,2.6666666666666665,6.0,57.3255808712151,53.66770185337008,3.657879017845019,-72,-66,-6,-0.68,-0.18,-0.5,old,False
68,25,-12,60,2,-8,27.0,18.0,9.0,32.69046751985457,29.97776954122282,2.712697978631752,-12,-8,-4,0.09,0.65,-0.56,old,False
91,81,-24,99,44,-22,49.333333333333336,40.333333333333336,9.0,52.01495511442412,49.46603773185082,2.5489173825733005,-24,-22,-2,-0.69,-0.11,-0.58,old,False
90,44,-48,88,16,-45,28.666666666666668,19.666666666666668,9.0,57.37207993053377,54.35888969514452,3.013190235389253,-48,-45,-3,-0.38,0.1,-0.48,old,False
84,27,-36,73,4,-29,25.0,16.0,9.0,49.01020301937138,42.49705872175156,6.513144297619824,-36,-29,-7,-0.06,0.4,-0.46,old,False
