outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,loss_diff_scaled,var_diff_scaled,skew_diff_scaled
41,39,-29,73,26,-21,17.0,26.0,-9.0,32.53715824509981,38.37533930360313,-5.8381810585033165,-29,-21,-8,-0.71,0.0,-0.71,-0.19127641429791256,-0.4042778413481662,0.5791986960467679
40,34,-14,62,29,-4,20.0,29.0,-9.0,24.166091947189145,26.94438717061496,-2.7782952234258147,-14,-4,-10,-0.67,0.0,-0.67,-0.7377804551490912,0.9981355523624387,0.7361023675764646
32,24,-44,60,15,-36,4.0,13.0,-9.0,34.09789827345179,39.21734310225516,-5.119444828803367,-44,-36,-8,-0.68,-0.08,-0.6000000000000001,-0.19127641429791256,-0.07486512159199235,1.010683792753434
21,13,-23,50,4,-16,3.6666666666666665,12.666666666666666,-9.0,19.136933459209764,27.632509034750278,-8.495575575540514,-23,-16,-7,-0.62,0.44,-1.06,0.08197560612767674,-1.6222205568389538,-0.7937084298380811
37,15,-44,59,10,-34,2.6666666666666665,11.666666666666666,-9.0,34.198765409814946,37.985377303495206,-3.7866118936802593,-44,-34,-10,-0.49,0.07,-0.56,-0.7377804551490912,0.5360017082640701,1.1675874642831312
38,36,-51,71,20,-41,7.666666666666667,16.666666666666668,-9.0,41.49163235588057,45.784519460427035,-4.292887104546466,-51,-41,-10,-0.71,-0.11,-0.6,-0.7377804551490912,0.3039645752170962,1.0106837927534345
49,45,-36,87,24,-26,19.333333333333332,28.333333333333332,-9.0,39.16063783387032,46.233705838441665,-7.073068004571347,-36,-26,-10,-0.7,0.14,-0.84,-0.7377804551490912,-0.9702538568684731,0.06926176357525267
34,21,-44,58,18,-38,3.6666666666666665,12.666666666666666,-9.0,34.12070078738451,39.37286149395573,-5.252160706571225,-44,-38,-6,-0.63,-0.2,-0.43,0.355227626553266,-0.1356917453849643,1.6775243967546467
57,43,-33,90,25,-21,22.333333333333332,31.333333333333332,-9.0,39.541820336898446,45.536310297997964,-5.994489961099518,-33,-21,-12,-0.64,0.21,-0.85,-1.2842844960002697,-0.475917670535312,0.030035845692828383
38,31,-19,62,21,-6,16.666666666666668,25.666666666666668,-9.0,25.381533094401966,27.956315128349008,-2.5747820339470415,-19,-6,-13,-0.67,0.25,-0.92,-1.557536516425859,1.0914101508621459,-0.2445455794841416
39,27,-18,60,21,-6,16.0,25.0,-9.0,24.535688292770594,27.09243436828813,-2.5567460755175375,-18,-6,-12,-0.58,0.22,-0.7999999999999999,-1.2842844960002697,1.0996764297474506,0.2261654351049498
42,39,-58,78,20,-48,7.666666666666667,16.666666666666668,-9.0,46.449494674921446,51.49325737954005,-5.043762704618601,-58,-48,-10,-0.7,-0.1,-0.6,-0.7377804551490912,-0.04017832922723835,1.0106837927534345
59,34,-23,76,30,-18,23.333333333333332,29.333333333333332,-6.0,34.315529364349835,38.378234572331344,-4.062705207981509,-23,-18,-5,-0.44,-0.03,-0.41000000000000003,0.6284796469788553,0.40946203235481615,1.755976232519495
76,31,-39,96,19,-29,22.666666666666668,28.666666666666668,-6.0,47.3168985552613,51.486783633170255,-4.169885077908958,-39,-29,-10,-0.26,0.28,-0.54,-0.7377804551490912,0.36033912606880153,1.24603930004798
61,53,-16,93,28,-5,32.666666666666664,38.666666666666664,-6.0,34.56716489515576,40.71308825863687,-6.14592336348111,-16,-5,-11,-0.68,0.38,-1.06,-1.0110324755746805,-0.5453229500789303,-0.7937084298380811
56,49,-15,84,31,-7,30.0,36.0,-6.0,31.94787421201396,37.31844941401862,-5.370575202004662,-15,-7,-8,-0.68,0.2,-0.8800000000000001,-0.19127641429791256,-0.18996372916344745,-0.0876419079544449
52,35,-54,77,16,-42,11.0,17.0,-6.0,46.48297179254642,48.586692279539534,-2.1037204869931116,-54,-42,-12,-0.64,0.03,-0.67,-1.2842844960002697,1.307308082457197,0.7361023675764646
34,28,-23,64,5,-12,13.0,19.0,-6.0,25.573423705088842,32.567877834864625,-6.994454129775782,-23,-12,-11,-0.68,0.57,-1.25,-1.0110324755746805,-0.9342233783189372,-1.5390008696041415
58,27,-28,78,17,-20,19.0,25.0,-6.0,35.56215216584433,40.40627014049511,-4.8441179746507785,-28,-20,-8,-0.33,0.29,-0.62,-0.19127641429791256,0.051323268669311764,0.932231956988586
62,41,-30,88,24,-21,24.333333333333332,30.333333333333332,-6.0,39.364394515292055,44.72384400096018,-5.359449485668122,-30,-21,-9,-0.56,0.21,-0.77,-0.46452843472350186,-0.18486456715350483,0.3438431887522222
52,42,-31,77,24,-20,21.0,27.0,-6.0,36.995495221265344,39.65686153324121,-2.6613663119758684,-31,-20,-11,-0.67,0.11,-0.78,-1.0110324755746805,1.0517266601252067,0.3046172708697979
75,61,-13,99,44,-2,41.0,47.0,-6.0,38.60915262818736,41.28760911782937,-2.6784564896420093,-13,-2,-11,-0.64,0.11,-0.75,-1.0110324755746805,1.043893853493948,0.42229502451707074
62,44,-43,91,27,-37,21.0,27.0,-6.0,45.8475735453906,52.255781179374466,-6.408207633983864,-43,-37,-6,-0.63,0.0,-0.63,0.355227626553266,-0.6655336356201967,0.8930060391061617
69,59,-15,95,38,-2,37.666666666666664,43.666666666666664,-6.0,37.464056848605644,39.802289158065044,-2.3382323094594,-15,-2,-13,-0.67,0.21,-0.88,-1.557536516425859,1.199826124457324,-0.08764190795444446
