agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.clicked_name,questions_loop.thisRepN,questions_loop.thisTrialN,questions_loop.thisN,questions_loop.thisIndex,questions_loop.ran,text_response_box.text,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[18.30169999998808],[18.30169999998808],0,[],[],31,female,2025-04-02_11h54.00.953,lotterie_task,2024.2.4,Win32,59.88023952,66105240a5e963088e15c5bc,67ec14af82a94bf3ef3ef029,67ecfb0a218fe96f2e51b7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,2025-04-02_11h54.00.953,lotterie_task,2024.2.4,Win32,59.88023952,66105240a5e963088e15c5bc,67ec14af82a94bf3ef3ef029,67ecfb0a218fe96f2e51b7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,2025-04-02_11h54.00.953,lotterie_task,2024.2.4,Win32,59.88023952,66105240a5e963088e15c5bc,67ec14af82a94bf3ef3ef029,67ecfb0a218fe96f2e51b7e1,1,[76.87310000002384],[76.87310000002384],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,2025-04-02_11h54.00.953,lotterie_task,2024.2.4,Win32,59.88023952,66105240a5e963088e15c5bc,67ec14af82a94bf3ef3ef029,67ecfb0a218fe96f2e51b7e1,,,,[0.22777777777777777],[-0.23148148148148148],[1],[0],[0],[23.625],"[""coins_b"",""coins_b""]",0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,2025-04-02_11h54.00.953,lotterie_task,2024.2.4,Win32,59.88023952,66105240a5e963088e15c5bc,67ec14af82a94bf3ef3ef029,67ecfb0a218fe96f2e51b7e1,,,,[0.22777777777777777],[-0.25462962962962965],[1],[0],[0],[8.977499999999992],"[""coins_b"",""coins_b""]",1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,2025-04-02_11h54.00.953,lotterie_task,2024.2.4,Win32,59.88023952,66105240a5e963088e15c5bc,67ec14af82a94bf3ef3ef029,67ecfb0a218fe96f2e51b7e1,,,,,,,,,,,,,,,,33.33%,1,[199.74960000002383],[199.74960000002383],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,2025-04-02_11h54.00.953,lotterie_task,2024.2.4,Win32,59.88023952,66105240a5e963088e15c5bc,67ec14af82a94bf3ef3ef029,67ecfb0a218fe96f2e51b7e1,,,,,,,,,,,,,,,,33.33%,1,[253.6539000000358],[253.6539000000358],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,2025-04-02_11h54.00.953,lotterie_task,2024.2.4,Win32,59.88023952,66105240a5e963088e15c5bc,67ec14af82a94bf3ef3ef029,67ecfb0a218fe96f2e51b7e1,,,,,,,,,,,,,,,,,,,,,,,,,1,[267.5511999999881],[267.5511999999881],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,2025-04-02_11h54.00.953,lotterie_task,2024.2.4,Win32,59.88023952,66105240a5e963088e15c5bc,67ec14af82a94bf3ef3ef029,67ecfb0a218fe96f2e51b7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,31,female,2025-04-02_11h54.00.953,lotterie_task,2024.2.4,Win32,59.88023952,66105240a5e963088e15c5bc,67ec14af82a94bf3ef3ef029,67ecfb0a218fe96f2e51b7e1,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.2611111111111111],[-0.03425925925925926],[1],[0],[0],[9.676500000000033],"[""coins_a_3"",""coins_a_3""]",0,[],[],0,0,0,73,1,58,47,-74,97,2,-68,10.33333333,10.33333333,0,59.80152358,67.61820925,-7.816685673,-74,-68,-6,-0.69,0.18,-0.87,,,,
