agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,decline_button.numClicks,decline_button.timesOn,decline_button.timesOff,age,sex,occupation,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,continue_button.numClicks,continue_button.timesOn,continue_button.timesOff,slider.response,slider.rt,submit_button.numClicks,submit_button.timesOn,submit_button.timesOff,questions_loop_2.thisRepN,questions_loop_2.thisTrialN,questions_loop_2.thisN,questions_loop_2.thisIndex,questions_loop_2.ran,check_correctness.started,check_correctness.stopped,failed_questions.started,failed_questions.stopped,continue_button_3.numClicks,continue_button_3.timesOn,continue_button_3.timesOff,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,continue_button_2.numClicks,continue_button_2.timesOn,continue_button_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff,lottery_type,sanity_check,bonus_payment,end_resp.keys,end_resp.rt,end_resp.duration
1,[9.537200000002983],[9.537200000002983],0,[],[],,male,,2025-08-19_12h43.49.894,lotterie_task,2024.2.4,Win32,57.47126437,601129f77e0c21000b0c408a,68947058ad5ea3fc73912f3f,68a4519e1904bd5381371237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,male,,2025-08-19_12h43.49.894,lotterie_task,2024.2.4,Win32,57.47126437,601129f77e0c21000b0c408a,68947058ad5ea3fc73912f3f,68a4519e1904bd5381371237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,male,,2025-08-19_12h43.49.894,lotterie_task,2024.2.4,Win32,57.47126437,601129f77e0c21000b0c408a,68947058ad5ea3fc73912f3f,68a4519e1904bd5381371237,1,[62.97049999999999],[62.97049999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,male,,2025-08-19_12h43.49.894,lotterie_task,2024.2.4,Win32,57.47126437,601129f77e0c21000b0c408a,68947058ad5ea3fc73912f3f,68a4519e1904bd5381371237,,,,34,48.7414,1,[124.88620000000299],[124.88620000000299],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,male,,2025-08-19_12h43.49.894,lotterie_task,2024.2.4,Win32,57.47126437,601129f77e0c21000b0c408a,68947058ad5ea3fc73912f3f,68a4519e1904bd5381371237,,,,33,19.0145,1,[147.69810000000894],[147.698200000003],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,male,,2025-08-19_12h43.49.894,lotterie_task,2024.2.4,Win32,57.47126437,601129f77e0c21000b0c408a,68947058ad5ea3fc73912f3f,68a4519e1904bd5381371237,,,,,,,,,,,,,,147.7598,147.7601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,male,,2025-08-19_12h43.49.894,lotterie_task,2024.2.4,Win32,57.47126437,601129f77e0c21000b0c408a,68947058ad5ea3fc73912f3f,68a4519e1904bd5381371237,,,,,,,,,,,,,,,,147.7603,147.7651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,male,,2025-08-19_12h43.49.894,lotterie_task,2024.2.4,Win32,57.47126437,601129f77e0c21000b0c408a,68947058ad5ea3fc73912f3f,68a4519e1904bd5381371237,,,,,,,,,,,,,,,,,,1,[181.9486999999881],[181.9486999999881],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,male,,2025-08-19_12h43.49.894,lotterie_task,2024.2.4,Win32,57.47126437,601129f77e0c21000b0c408a,68947058ad5ea3fc73912f3f,68a4519e1904bd5381371237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,male,,2025-08-19_12h43.49.894,lotterie_task,2024.2.4,Win32,57.47126437,601129f77e0c21000b0c408a,68947058ad5ea3fc73912f3f,68a4519e1904bd5381371237,,,,,,,,,,,,,,,,,,,,,[-0.16888105743515533],[-0.07444321340581038],[1],[0],[0],[10.791999999999973],"[""coins_a_3"",""coins_a_3""]",0,[],[],0,0,0,104,1,92,54,-10,99,11,-1,45.33333333,36.33333333,9,42.08985098,44.58200933,-2.492158346,-10,-1,-9,-0.3,0.67,-0.97,unconfounded,FALSE,,,,
