outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
520,170,-110,670,70,-100,193.33333333333331,213.33333333333331,-20.0,66422.22222222222,109088.88888888888,-42666.66666666666,-110,-100,-10,0.14,0.57,-0.42999999999999994
640,410,-260,960,80,-190,263.3333333333333,283.3333333333333,-20.0,145755.55555555553,241088.8888888889,-95333.33333333337,-260,-190,-70,-0.52,0.55,-1.07
590,470,-470,590,520,-460,196.66666666666666,216.66666666666666,-20.0,224622.22222222225,229755.5555555556,-5133.333333333343,-470,-460,-10,-0.67,-0.7,0.029999999999999916
670,580,-950,900,390,-930,100.0,120.0,-20.0,552600.0,594600.0,-42000.0,-950,-930,-20,-0.7,-0.48,-0.21999999999999997
660,440,-400,800,290,-330,233.33333333333331,253.33333333333331,-20.0,208622.22222222225,213488.88888888888,-4866.666666666628,-400,-330,-70,-0.59,-0.12,-0.47
660,440,-230,1000,120,-190,290.0,310.0,-20.0,143266.66666666666,254066.66666666666,-110800.0,-230,-190,-40,-0.53,0.51,-1.04
630,520,-670,900,290,-650,160.0,180.0,-20.0,346466.6666666667,406466.6666666667,-60000.0,-670,-650,-20,-0.69,-0.25,-0.43999999999999995
950,620,-450,1000,620,-440,373.3333333333333,393.3333333333333,-20.0,357088.8888888888,371288.8888888888,-14200.0,-450,-440,-10,-0.55,-0.51,-0.040000000000000036
740,170,-220,810,140,-200,230.0,250.0,-20.0,155400.0,176066.66666666666,-20666.666666666657,-220,-200,-20,0.22,0.38,-0.16
670,490,-810,970,230,-790,116.66666666666666,136.66666666666666,-20.0,434755.5555555555,520622.2222222222,-85866.66666666669,-810,-790,-20,-0.67,-0.19,-0.48000000000000004
440,340,-420,680,100,-360,120.0,140.0,-20.0,147466.66666666666,181066.66666666666,-33600.0,-420,-360,-60,-0.67,0.14,-0.81
470,430,-880,910,30,-860,6.666666666666666,26.666666666666664,-20.0,393355.5555555555,522155.55555555556,-128800.00000000006,-880,-860,-20,-0.7,-0.01,-0.69
640,600,-230,970,270,-170,336.66666666666663,356.66666666666663,-20.0,160822.22222222225,220355.5555555556,-59533.33333333334,-230,-170,-60,-0.7,0.27,-0.97
430,400,-190,580,270,-150,213.33333333333331,233.33333333333331,-20.0,81488.88888888889,89488.88888888888,-7999.999999999985,-190,-150,-40,-0.7,-0.18,-0.52
800,580,-280,990,360,-190,366.66666666666663,386.66666666666663,-20.0,217155.5555555556,232422.22222222225,-15266.666666666657,-280,-190,-90,-0.59,0.08,-0.6699999999999999
740,310,-700,950,80,-620,116.66666666666666,136.66666666666666,-20.0,364288.8888888888,412422.2222222222,-48133.33333333337,-700,-620,-80,-0.45,0.13,-0.5800000000000001
610,540,-260,940,90,-80,296.66666666666663,316.66666666666663,-20.0,155755.5555555556,199088.88888888888,-43333.333333333285,-260,-80,-180,-0.69,0.63,-1.3199999999999998
730,490,-350,860,400,-330,290.0,310.0,-20.0,214400.0,240066.66666666666,-25666.666666666657,-350,-330,-20,-0.57,-0.27,-0.29999999999999993
540,400,-470,840,40,-350,156.66666666666666,176.66666666666666,-20.0,199622.22222222222,245355.5555555556,-45733.33333333337,-470,-350,-120,-0.66,0.39,-1.05
820,550,-790,910,510,-780,193.33333333333331,213.33333333333331,-20.0,495622.2222222222,520022.22222222225,-24400.00000000006,-790,-780,-10,-0.63,-0.55,-0.07999999999999996
820,180,-50,930,120,-40,316.66666666666663,336.66666666666663,-20.0,135488.8888888889,180288.88888888888,-44799.99999999997,-50,-40,-10,0.51,0.63,-0.12
660,500,-590,950,190,-510,190.0,210.0,-20.0,308466.6666666667,355466.6666666667,-47000.0,-590,-510,-80,-0.66,0.05,-0.7100000000000001
510,110,-760,590,70,-740,-46.666666666666664,-26.666666666666664,-20.0,281088.88888888893,299488.88888888893,-18400.0,-760,-740,-20,-0.42,-0.26,-0.15999999999999998
700,520,-70,970,290,-50,383.3333333333333,403.3333333333333,-20.0,108155.55555555556,179822.22222222225,-71666.66666666669,-70,-50,-20,-0.55,0.38,-0.93
620,320,-830,950,20,-800,36.666666666666664,56.666666666666664,-20.0,390555.5555555555,511088.88888888893,-120533.33333333343,-830,-800,-30,-0.59,0.08,-0.6699999999999999
750,480,-540,950,300,-500,230.0,250.0,-20.0,308600.0,351666.6666666667,-43066.666666666686,-540,-500,-40,-0.58,-0.13,-0.44999999999999996
800,310,-730,890,260,-710,126.66666666666666,146.66666666666666,-20.0,406955.55555555556,433088.88888888893,-26133.333333333372,-730,-710,-20,-0.41,-0.25,-0.15999999999999998
420,330,-440,730,30,-390,103.33333333333333,123.33333333333333,-20.0,148955.5555555556,213422.22222222222,-64466.66666666663,-440,-390,-50,-0.68,0.29,-0.97
840,360,-110,950,270,-70,363.3333333333333,383.3333333333333,-20.0,150422.22222222222,179822.22222222225,-29400.00000000003,-110,-70,-40,0.01,0.38,-0.37
590,330,-160,660,280,-120,253.33333333333331,273.3333333333333,-20.0,96688.88888888889,101422.2222222222,-4733.333333333314,-160,-120,-40,-0.35,-0.03,-0.31999999999999995
720,340,-850,760,340,-830,70.0,90.0,-20.0,447266.6666666667,452600.0,-5333.333333333314,-850,-830,-20,-0.54,-0.51,-0.030000000000000027
490,420,-590,900,60,-580,106.66666666666666,126.66666666666666,-20.0,243488.88888888885,367288.88888888893,-123800.00000000009,-590,-580,-10,-0.7,0.16,-0.86
770,680,-950,800,700,-940,166.66666666666666,186.66666666666666,-20.0,624822.2222222224,636355.5555555556,-11533.333333333256,-950,-940,-10,-0.7,-0.7,0.0
720,450,-410,880,280,-340,253.33333333333331,273.3333333333333,-20.0,232155.5555555556,248088.8888888889,-15933.333333333314,-410,-340,-70,-0.54,-0.02,-0.52
550,520,-530,950,20,-370,180.0,200.0,-20.0,252200.0,306600.0,-54400.0,-530,-370,-160,-0.71,0.45,-1.16
470,370,-860,670,180,-810,-6.666666666666666,13.333333333333332,-20.0,365755.55555555556,378955.55555555556,-13200.0,-860,-810,-50,-0.69,-0.39,-0.29999999999999993
740,100,-900,820,20,-840,-20.0,0.0,-20.0,455466.6666666667,459466.6666666667,-4000.0,-900,-840,-60,-0.26,-0.04,-0.22
620,220,-660,810,50,-620,60.0,80.0,-20.0,285866.6666666667,341266.6666666667,-55400.0,-660,-620,-40,-0.42,0.08,-0.5
540,160,-130,570,170,-110,190.0,210.0,-20.0,75266.66666666667,77866.66666666667,-2600.0,-130,-110,-20,0.16,0.21,-0.04999999999999999
540,380,-370,840,60,-290,183.33333333333331,203.33333333333331,-20.0,157355.55555555553,223088.88888888888,-65733.33333333334,-370,-290,-80,-0.62,0.43,-1.05
700,660,-960,960,390,-890,133.33333333333331,153.33333333333331,-20.0,597955.5555555554,598422.2222222221,-466.6666666667443,-960,-890,-70,-0.71,-0.43,-0.27999999999999997
450,430,-440,710,210,-420,146.66666666666666,166.66666666666666,-20.0,172155.55555555556,213755.55555555553,-41599.99999999997,-440,-420,-20,-0.71,-0.14,-0.57
360,100,-190,410,60,-140,90.0,110.0,-20.0,50466.666666666664,51666.666666666664,-1200.0,-190,-140,-50,-0.07,0.32,-0.39
660,300,-700,920,60,-660,86.66666666666666,106.66666666666666,-20.0,331022.22222222225,417155.5555555555,-86133.33333333326,-700,-660,-40,-0.51,0.11,-0.62
630,140,-120,780,40,-110,216.66666666666666,236.66666666666666,-20.0,96688.88888888889,151355.55555555553,-54666.66666666664,-120,-110,-10,0.35,0.63,-0.28
700,70,-860,760,60,-850,-30.0,-10.0,-20.0,410600.0,434466.6666666667,-23866.666666666686,-860,-850,-10,-0.23,-0.16,-0.07
760,670,-750,990,440,-690,226.66666666666666,246.66666666666666,-20.0,478288.88888888893,489088.8888888888,-10799.999999999884,-750,-690,-60,-0.7,-0.39,-0.30999999999999994
670,660,-640,950,400,-600,230.0,250.0,-20.0,378466.6666666667,411666.6666666667,-33200.0,-640,-600,-40,-0.71,-0.34,-0.36999999999999994
700,690,-220,880,520,-170,390.0,410.0,-20.0,186066.66666666666,189800.0,-3733.333333333343,-220,-170,-50,-0.71,-0.36,-0.35
530,510,-490,860,230,-480,183.33333333333331,203.33333333333331,-20.0,226755.55555555553,299622.22222222225,-72866.66666666672,-490,-480,-10,-0.71,-0.07,-0.6399999999999999
600,430,-480,690,360,-440,183.33333333333331,203.33333333333331,-20.0,224822.22222222225,225088.88888888888,-266.66666666662786,-480,-440,-40,-0.64,-0.46,-0.18
620,440,-820,910,100,-710,80.0,100.0,-20.0,410400.0,437400.0,-27000.0,-820,-710,-110,-0.67,0.0,-0.67
440,360,-790,720,10,-660,3.333333333333333,23.333333333333332,-20.0,315755.55555555556,317488.8888888889,-1733.333333333314,-790,-660,-130,-0.7,0.04,-0.74
690,320,-180,940,80,-130,276.66666666666663,296.66666666666663,-20.0,127088.88888888889,214288.88888888888,-87199.99999999999,-180,-130,-50,-0.18,0.6,-0.78
610,550,-480,920,230,-410,226.66666666666666,246.66666666666666,-20.0,250288.8888888889,294955.55555555556,-44666.66666666666,-480,-410,-70,-0.7,0.05,-0.75
740,570,-640,990,350,-610,223.33333333333331,243.33333333333331,-20.0,377488.8888888888,432355.5555555555,-54866.666666666686,-640,-610,-30,-0.67,-0.24,-0.43000000000000005
700,480,-400,960,270,-390,260.0,280.0,-20.0,225866.66666666666,303800.0,-77933.33333333334,-400,-390,-10,-0.6,0.03,-0.63
760,320,-100,950,110,-20,326.66666666666663,346.66666666666663,-20.0,123288.88888888888,184822.22222222222,-61533.33333333334,-100,-20,-80,0.03,0.66,-0.63
440,370,-340,630,180,-280,156.66666666666666,176.66666666666666,-20.0,124155.55555555555,138022.22222222222,-13866.666666666672,-340,-280,-60,-0.69,-0.01,-0.6799999999999999
350,130,-780,410,100,-750,-100.0,-80.0,-20.0,239266.66666666666,240466.66666666666,-1200.0,-780,-750,-30,-0.6,-0.5,-0.09999999999999998
570,540,-440,730,400,-400,223.33333333333331,243.33333333333331,-20.0,220155.5555555556,225088.88888888888,-4933.333333333285,-440,-400,-40,-0.7,-0.46,-0.23999999999999994
530,210,-470,660,90,-420,90.0,110.0,-20.0,173866.66666666666,194600.0,-20733.333333333343,-470,-420,-50,-0.41,0.07,-0.48
740,140,-780,860,40,-740,33.33333333333333,53.33333333333333,-20.0,390755.5555555555,426755.5555555555,-36000.0,-780,-740,-40,-0.25,0.03,-0.28
580,250,-410,800,20,-340,140.0,160.0,-20.0,169400.0,226400.0,-57000.0,-410,-340,-70,-0.38,0.42,-0.8
840,630,-180,900,620,-170,430.0,450.0,-20.0,193400.0,205266.66666666666,-11866.666666666657,-180,-170,-10,-0.59,-0.51,-0.07999999999999996
400,260,-480,630,20,-410,60.0,80.0,-20.0,149066.66666666666,182066.66666666666,-33000.0,-480,-410,-70,-0.64,0.21,-0.85
520,200,-460,710,60,-450,86.66666666666666,106.66666666666666,-20.0,166488.88888888885,225355.5555555556,-58866.666666666744,-460,-450,-10,-0.4,0.15,-0.55
520,270,-310,810,20,-290,160.0,180.0,-20.0,120866.66666666667,214466.66666666666,-93599.99999999999,-310,-290,-20,-0.44,0.48,-0.9199999999999999
690,470,-490,940,200,-410,223.33333333333331,243.33333333333331,-20.0,262488.88888888893,304688.8888888889,-42199.99999999994,-490,-410,-80,-0.61,0.12,-0.73
520,360,-250,630,260,-200,210.0,230.0,-20.0,110066.66666666667,115266.66666666667,-5200.0,-250,-200,-50,-0.59,-0.13,-0.45999999999999996
320,260,-300,320,310,-290,93.33333333333333,113.33333333333333,-20.0,77955.55555555556,81355.55555555555,-3399.9999999999854,-300,-290,-10,-0.68,-0.71,0.029999999999999916
750,430,-210,940,170,-80,323.3333333333333,343.3333333333333,-20.0,159288.88888888888,188422.22222222225,-29133.333333333372,-210,-80,-130,-0.38,0.54,-0.92
680,520,-240,920,240,-140,320.0,340.0,-20.0,161066.66666666666,192266.66666666666,-31200.0,-240,-140,-100,-0.62,0.33,-0.95
680,220,-810,930,20,-800,30.0,50.0,-20.0,388066.6666666667,499266.6666666667,-111200.0,-810,-800,-10,-0.43,0.06,-0.49
590,140,-370,660,100,-340,120.0,140.0,-20.0,153800.0,167466.66666666666,-13666.666666666657,-370,-340,-30,-0.08,0.15,-0.22999999999999998
610,340,-260,760,80,-90,230.0,250.0,-20.0,132200.0,134866.66666666666,-2666.666666666657,-260,-90,-170,-0.43,0.6,-1.03
810,270,-360,960,50,-230,240.0,260.0,-20.0,228600.0,258066.66666666666,-29466.666666666657,-360,-230,-130,-0.09,0.55,-0.64
430,400,-570,630,250,-560,86.66666666666666,106.66666666666666,-20.0,215755.55555555553,246288.88888888888,-30533.333333333343,-570,-560,-10,-0.7,-0.41,-0.29
800,200,-200,830,220,-190,266.66666666666663,286.66666666666663,-20.0,168888.88888888888,175622.22222222216,-6733.333333333285,-200,-190,-10,0.24,0.23,0.009999999999999981
660,620,-640,910,410,-620,213.33333333333331,233.33333333333331,-20.0,364355.55555555556,405755.55555555556,-41400.0,-640,-620,-20,-0.7,-0.39,-0.30999999999999994
