outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
520,170,-110,670,70,-100,193.33333333333331,213.33333333333331,-20.0,66422.22222222222,109088.88888888888,-42666.66666666666,-110,-100,-10,0.14,0.57,-0.42999999999999994
640,410,-260,960,80,-190,263.3333333333333,283.3333333333333,-20.0,145755.55555555553,241088.8888888889,-95333.33333333337,-260,-190,-70,-0.52,0.55,-1.07
590,470,-470,590,520,-460,196.66666666666666,216.66666666666666,-20.0,224622.22222222225,229755.5555555556,-5133.333333333343,-470,-460,-10,-0.67,-0.7,0.029999999999999916
670,580,-950,900,390,-930,100.0,120.0,-20.0,552600.0,594600.0,-42000.0,-950,-930,-20,-0.7,-0.48,-0.21999999999999997
660,440,-400,800,290,-330,233.33333333333331,253.33333333333331,-20.0,208622.22222222225,213488.88888888888,-4866.666666666628,-400,-330,-70,-0.59,-0.12,-0.47
660,440,-230,1000,120,-190,290.0,310.0,-20.0,143266.66666666666,254066.66666666666,-110800.0,-230,-190,-40,-0.53,0.51,-1.04
630,520,-670,900,290,-650,160.0,180.0,-20.0,346466.6666666667,406466.6666666667,-60000.0,-670,-650,-20,-0.69,-0.25,-0.43999999999999995
950,620,-450,1000,620,-440,373.3333333333333,393.3333333333333,-20.0,357088.8888888888,371288.8888888888,-14200.0,-450,-440,-10,-0.55,-0.51,-0.040000000000000036
740,170,-220,810,140,-200,230.0,250.0,-20.0,155400.0,176066.66666666666,-20666.666666666657,-220,-200,-20,0.22,0.38,-0.16
670,490,-810,970,230,-790,116.66666666666666,136.66666666666666,-20.0,434755.5555555555,520622.2222222222,-85866.66666666669,-810,-790,-20,-0.67,-0.19,-0.48000000000000004
440,340,-420,680,100,-360,120.0,140.0,-20.0,147466.66666666666,181066.66666666666,-33600.0,-420,-360,-60,-0.67,0.14,-0.81
470,430,-880,910,30,-860,6.666666666666666,26.666666666666664,-20.0,393355.5555555555,522155.55555555556,-128800.00000000006,-880,-860,-20,-0.7,-0.01,-0.69
640,600,-230,970,270,-170,336.66666666666663,356.66666666666663,-20.0,160822.22222222225,220355.5555555556,-59533.33333333334,-230,-170,-60,-0.7,0.27,-0.97
430,400,-190,580,270,-150,213.33333333333331,233.33333333333331,-20.0,81488.88888888889,89488.88888888888,-7999.999999999985,-190,-150,-40,-0.7,-0.18,-0.52
800,580,-280,990,360,-190,366.66666666666663,386.66666666666663,-20.0,217155.5555555556,232422.22222222225,-15266.666666666657,-280,-190,-90,-0.59,0.08,-0.6699999999999999
740,310,-700,950,80,-620,116.66666666666666,136.66666666666666,-20.0,364288.8888888888,412422.2222222222,-48133.33333333337,-700,-620,-80,-0.45,0.13,-0.5800000000000001
610,540,-260,940,90,-80,296.66666666666663,316.66666666666663,-20.0,155755.5555555556,199088.88888888888,-43333.333333333285,-260,-80,-180,-0.69,0.63,-1.3199999999999998
730,490,-350,860,400,-330,290.0,310.0,-20.0,214400.0,240066.66666666666,-25666.666666666657,-350,-330,-20,-0.57,-0.27,-0.29999999999999993
540,400,-470,840,40,-350,156.66666666666666,176.66666666666666,-20.0,199622.22222222222,245355.5555555556,-45733.33333333337,-470,-350,-120,-0.66,0.39,-1.05
820,550,-790,910,510,-780,193.33333333333331,213.33333333333331,-20.0,495622.2222222222,520022.22222222225,-24400.00000000006,-790,-780,-10,-0.63,-0.55,-0.07999999999999996
480,290,-280,720,50,-250,163.33333333333331,173.33333333333331,-10.0,104288.88888888888,164422.22222222222,-60133.33333333334,-280,-250,-30,-0.53,0.43,-0.96
450,440,-700,760,20,-560,63.33333333333333,73.33333333333333,-10.0,291355.55555555556,291822.22222222225,-466.66666666668607,-700,-560,-140,-0.71,0.15,-0.86
540,520,-500,870,130,-410,186.66666666666666,196.66666666666666,-10.0,235822.22222222225,275288.8888888889,-39466.66666666663,-500,-410,-90,-0.71,0.19,-0.8999999999999999
590,290,-960,870,10,-930,-26.666666666666664,-16.666666666666664,-10.0,450555.55555555556,540355.5555555556,-89800.00000000006,-960,-930,-30,-0.6,-0.05,-0.5499999999999999
550,230,-250,680,110,-230,176.66666666666666,186.66666666666666,-10.0,108088.88888888888,140955.55555555553,-32866.66666666666,-250,-230,-20,-0.24,0.3,-0.54
590,540,-490,900,70,-300,213.33333333333331,223.33333333333331,-10.0,247755.55555555553,251755.5555555556,-4000.000000000058,-490,-300,-190,-0.7,0.43,-1.13
520,360,-150,690,150,-80,243.33333333333331,253.33333333333331,-10.0,81622.22222222223,104155.55555555556,-22533.33333333333,-150,-80,-70,-0.54,0.45,-0.99
390,300,-830,670,40,-820,-46.666666666666664,-36.666666666666664,-10.0,308155.55555555556,372955.5555555555,-64799.99999999994,-830,-820,-10,-0.69,-0.19,-0.49999999999999994
610,80,-70,660,20,-30,206.66666666666666,216.66666666666666,-10.0,85088.88888888889,98688.88888888889,-13600.0,-70,-30,-40,0.57,0.69,-0.12
610,500,-840,760,360,-820,90.0,100.0,-10.0,434466.6666666667,449866.6666666667,-15400.0,-840,-820,-20,-0.69,-0.52,-0.16999999999999993
520,410,-500,800,120,-460,143.33333333333331,153.33333333333331,-10.0,208955.55555555553,265155.55555555556,-56200.00000000003,-500,-460,-40,-0.68,0.1,-0.78
620,490,-80,840,260,-40,343.3333333333333,353.3333333333333,-10.0,92422.2222222222,133422.22222222222,-41000.000000000015,-80,-40,-40,-0.61,0.37,-0.98
490,280,-850,730,40,-820,-26.666666666666664,-16.666666666666664,-10.0,346288.88888888893,402022.2222222222,-55733.333333333256,-850,-820,-30,-0.64,-0.13,-0.51
560,50,-450,600,30,-440,53.33333333333333,63.33333333333333,-10.0,170022.22222222222,180822.22222222222,-10800.0,-450,-440,-10,0.01,0.12,-0.11
820,370,-200,990,40,-10,330.0,340.0,-10.0,174200.0,211666.66666666666,-37466.66666666666,-200,-10,-190,-0.14,0.7,-0.84
660,340,-230,890,110,-200,256.66666666666663,266.66666666666663,-10.0,135488.88888888888,210288.88888888885,-74799.99999999997,-230,-200,-30,-0.33,0.47,-0.8
870,200,-150,960,70,-80,306.66666666666663,316.66666666666663,-10.0,179088.88888888888,210688.88888888888,-31600.0,-150,-80,-70,0.36,0.65,-0.29000000000000004
920,440,-90,980,340,-20,423.3333333333333,433.3333333333333,-10.0,170155.55555555553,171022.22222222225,-866.6666666667152,-90,-20,-70,-0.06,0.33,-0.39
440,280,-780,700,10,-740,-20.0,-10.0,-10.0,293066.6666666667,345800.0,-52733.333333333314,-780,-740,-40,-0.66,-0.05,-0.61
650,500,-120,920,250,-110,343.3333333333333,353.3333333333333,-10.0,111088.88888888888,182155.5555555556,-71066.66666666672,-120,-110,-10,-0.6,0.35,-0.95
680,450,-990,780,340,-980,46.666666666666664,46.666666666666664,0.0,546155.5555555556,559288.8888888889,-13133.333333333256,-990,-980,-10,-0.66,-0.53,-0.13
840,420,-330,1000,220,-290,310.0,310.0,0.0,234200.0,281400.0,-47200.0,-330,-290,-40,-0.33,0.25,-0.5800000000000001
690,480,-100,780,330,-40,356.66666666666663,356.66666666666663,0.0,111622.22222222223,112422.22222222223,-800.0,-100,-40,-60,-0.5,0.12,-0.62
660,400,-400,730,300,-370,220.0,220.0,0.0,203466.66666666666,204866.66666666666,-1400.0,-400,-370,-30,-0.54,-0.26,-0.28
620,290,-190,750,30,-60,240.0,240.0,0.0,110600.0,131400.0,-20800.0,-190,-60,-130,-0.22,0.67,-0.89
670,540,-130,850,300,-70,360.0,360.0,0.0,122866.66666666667,142866.66666666666,-19999.999999999985,-130,-70,-60,-0.63,0.23,-0.86
600,120,-840,650,40,-810,-40.0,-40.0,0.0,358400.0,358466.6666666667,-66.66666666668607,-840,-810,-30,-0.38,-0.2,-0.18
590,440,-620,790,210,-590,136.66666666666666,136.66666666666666,0.0,290022.22222222225,320088.8888888889,-30066.666666666628,-620,-590,-30,-0.67,-0.19,-0.48000000000000004
660,570,-810,980,240,-800,140.0,140.0,0.0,452600.0,533066.6666666666,-80466.66666666663,-810,-800,-10,-0.7,-0.2,-0.49999999999999994
700,530,-730,840,360,-700,166.66666666666666,166.66666666666666,0.0,406822.2222222222,413955.5555555555,-7133.333333333314,-730,-700,-30,-0.67,-0.42,-0.25000000000000006
470,130,-40,480,100,-20,186.66666666666666,186.66666666666666,0.0,44955.55555555556,45422.222222222226,-466.66666666666424,-40,-20,-20,0.38,0.54,-0.16000000000000003
780,370,-950,880,260,-940,66.66666666666666,66.66666666666666,0.0,544822.2222222221,570755.5555555555,-25933.333333333372,-950,-940,-10,-0.55,-0.37,-0.18000000000000005
570,560,-340,860,170,-240,263.3333333333333,263.3333333333333,0.0,182022.22222222216,206022.22222222225,-24000.000000000087,-340,-240,-100,-0.71,0.3,-1.01
630,560,-330,910,50,-100,286.66666666666663,286.66666666666663,0.0,190955.5555555556,198022.22222222216,-7066.66666666657,-330,-100,-230,-0.69,0.65,-1.3399999999999999
680,580,-840,950,300,-830,140.0,140.0,0.0,481866.6666666667,540866.6666666666,-58999.99999999994,-840,-830,-10,-0.7,-0.32,-0.37999999999999995
680,300,-120,860,60,-60,286.66666666666663,286.66666666666663,0.0,106755.55555555555,166755.55555555553,-59999.999999999985,-120,-60,-60,-0.06,0.66,-0.72
380,190,-920,520,30,-900,-116.66666666666666,-116.66666666666666,0.0,328688.88888888893,346822.2222222222,-18133.333333333256,-920,-900,-20,-0.65,-0.36,-0.29000000000000004
640,320,-230,720,230,-220,243.33333333333331,243.33333333333331,0.0,129088.88888888888,147355.55555555553,-18266.666666666657,-230,-220,-10,-0.31,0.05,-0.36
610,460,-600,820,240,-590,156.66666666666666,156.66666666666666,0.0,290022.22222222225,334822.2222222222,-44799.99999999994,-600,-590,-10,-0.67,-0.21,-0.4600000000000001
620,420,-500,810,210,-480,180.0,180.0,0.0,237866.66666666666,277800.0,-39933.33333333334,-500,-480,-20,-0.62,-0.09,-0.53
700,470,-940,940,210,-920,76.66666666666666,76.66666666666666,0.0,525622.2222222221,585488.8888888889,-59866.666666666744,-940,-920,-20,-0.65,-0.26,-0.39
810,320,-370,950,150,-340,253.33333333333331,253.33333333333331,0.0,234288.8888888889,282688.8888888889,-48399.99999999997,-370,-340,-30,-0.2,0.28,-0.48000000000000004
620,420,-710,920,30,-620,110.0,110.0,0.0,342866.6666666667,398466.6666666667,-55600.0,-710,-620,-90,-0.65,0.19,-0.8400000000000001
650,580,-600,980,150,-500,210.0,210.0,0.0,328866.6666666667,366866.6666666667,-38000.0,-600,-500,-100,-0.7,0.15,-0.85
770,270,-480,1000,30,-470,186.66666666666666,186.66666666666666,0.0,263888.8888888889,372422.22222222225,-108533.33333333337,-480,-470,-10,-0.24,0.37,-0.61
630,340,-580,890,60,-560,130.0,130.0,0.0,266066.6666666667,352866.6666666667,-86800.0,-580,-560,-20,-0.54,0.18,-0.72
710,190,-960,810,30,-900,-20.0,-20.0,0.0,486866.6666666667,488600.0,-1733.333333333314,-960,-900,-60,-0.42,-0.11,-0.31
840,660,-100,990,450,-40,466.66666666666663,466.66666666666663,0.0,165955.5555555556,176955.5555555555,-10999.999999999913,-100,-40,-60,-0.6,0.06,-0.6599999999999999
580,420,-310,830,20,-160,230.0,230.0,0.0,150066.66666666666,185400.0,-35333.33333333334,-310,-160,-150,-0.62,0.62,-1.24
470,350,-590,720,30,-520,76.66666666666666,76.66666666666666,0.0,224622.22222222216,257355.55555555553,-32733.333333333372,-590,-520,-70,-0.67,0.14,-0.81
790,290,-340,930,50,-240,246.66666666666666,246.66666666666666,0.0,213755.55555555553,247488.88888888888,-33733.33333333334,-340,-240,-100,-0.14,0.53,-0.67
520,470,-320,860,40,-230,223.33333333333331,223.33333333333331,0.0,148022.22222222222,214822.22222222222,-66800.0,-320,-230,-90,-0.7,0.53,-1.23
830,240,-490,910,120,-450,193.33333333333331,193.33333333333331,0.0,291488.8888888889,310955.55555555556,-19466.666666666686,-490,-450,-40,-0.13,0.19,-0.32
670,340,-740,820,160,-710,90.0,90.0,0.0,362600.0,392600.0,-30000.0,-740,-710,-30,-0.55,-0.17,-0.38
610,510,-210,790,260,-140,303.3333333333333,303.3333333333333,0.0,133422.2222222222,145088.8888888889,-11666.666666666715,-210,-140,-70,-0.67,0.17,-0.8400000000000001
400,340,-440,670,30,-400,100.0,100.0,0.0,146400.0,193266.66666666666,-46866.66666666666,-440,-400,-40,-0.69,0.23,-0.9199999999999999
830,220,-810,930,100,-790,80.0,80.0,0.0,458066.6666666667,493266.6666666667,-35200.0,-810,-790,-20,-0.3,-0.04,-0.26
480,270,-850,690,50,-840,-33.33333333333333,-33.33333333333333,0.0,340822.2222222222,393622.2222222222,-52800.0,-850,-840,-10,-0.64,-0.2,-0.44
580,570,-860,890,170,-770,96.66666666666666,96.66666666666666,0.0,457622.2222222222,461955.5555555555,-4333.333333333314,-860,-770,-90,-0.71,-0.16,-0.5499999999999999
280,250,-80,410,110,-70,150.0,150.0,0.0,26600.0,39200.0,-12600.0,-80,-70,-10,-0.69,0.29,-0.98
