outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
56,47,-38,96,8,-27,21.666666666666668,25.666666666666668,-4.0,42.35039026450117,51.74510175422941,-9.394711489728238,-38,-27,-11,-0.68,0.47,-1.15
39,22,-9,62,3,-1,17.333333333333332,21.333333333333332,-4.0,19.871811414385174,28.802006102970598,-8.930194688585424,-9,-1,-8,-0.34,0.7,-1.04
70,19,-62,87,3,-51,9.0,13.0,-4.0,54.35071296680477,56.78027826631356,-2.4295652995087877,-62,-51,-11,-0.27,0.26,-0.53
72,24,-48,97,1,-38,16.0,20.0,-4.0,49.31531202375181,56.72741841473134,-7.412106390979531,-48,-38,-10,-0.24,0.46,-0.7
61,42,-33,89,13,-20,23.333333333333332,27.333333333333332,-4.0,40.581878824037815,45.638677554119475,-5.05679873008166,-33,-20,-13,-0.59,0.44,-1.03
38,33,-16,59,13,-5,18.333333333333332,22.333333333333332,-4.0,24.362995619495468,26.948510575210317,-2.5855149557148493,-16,-5,-11,-0.68,0.48,-1.1600000000000001
49,45,-22,98,1,-15,24.0,28.0,-4.0,32.567877834864625,49.926612809869916,-17.35873497500529,-22,-15,-7,-0.7,0.65,-1.35
62,21,-41,80,4,-30,14.0,18.0,-4.0,42.339894504670966,45.985504962614755,-3.645610457943789,-41,-30,-11,-0.24,0.43,-0.6699999999999999
45,41,-31,70,21,-24,18.333333333333332,22.333333333333332,-4.0,34.92213560989012,38.38691906829143,-3.464783458401307,-31,-24,-7,-0.7,0.05,-0.75
65,45,-37,98,19,-32,24.333333333333332,28.333333333333332,-4.0,44.13111776916097,53.48104544810453,-9.349927678943558,-37,-32,-5,-0.6,0.26,-0.86
77,36,-41,94,23,-36,24.0,27.0,-3.0,48.91489207456832,53.147593234940246,-4.232701160371924,-41,-36,-5,-0.35,0.11,-0.45999999999999996
58,11,-21,68,1,-12,16.0,19.0,-3.0,32.44482495971687,35.05234181430203,-2.607516854585164,-21,-12,-9,0.23,0.63,-0.4
73,67,-10,95,47,-3,43.333333333333336,46.333333333333336,-3.0,37.79182745280019,40.01110956832975,-2.219282115529559,-10,-3,-7,-0.69,-0.02,-0.6699999999999999
56,42,-33,86,14,-26,21.666666666666668,24.666666666666668,-3.0,39.075425639254256,46.34172585862071,-7.266300219366457,-33,-26,-7,-0.64,0.33,-0.97
63,51,-40,90,21,-28,24.666666666666668,27.666666666666668,-3.0,45.98792111945146,48.40339749324306,-2.4154763737916056,-40,-28,-12,-0.67,0.2,-0.8700000000000001
72,21,-15,85,9,-7,26.0,29.0,-3.0,35.6931365951495,40.13311184877976,-4.439975253630266,-15,-7,-8,0.21,0.62,-0.41000000000000003
68,40,-23,91,19,-16,28.333333333333332,31.333333333333332,-3.0,38.05551500403354,44.54460935087681,-6.489094346843274,-23,-16,-7,-0.43,0.39,-0.8200000000000001
45,40,-20,70,12,-8,21.666666666666668,24.666666666666668,-3.0,29.53340857778225,33.079029946814074,-3.5456213690318243,-20,-8,-12,-0.69,0.52,-1.21
65,32,-19,94,6,-13,26.0,29.0,-3.0,34.55430508634199,46.611872593435535,-12.057567507093545,-19,-13,-6,-0.26,0.62,-0.88
57,51,-69,95,13,-60,13.0,16.0,-3.0,58.034472514187634,63.31403214664713,-5.279559632459495,-69,-60,-9,-0.7,0.07,-0.77
68,54,-91,99,22,-84,10.333333333333334,12.333333333333334,-2.0,71.88107462252417,75.02147840600198,-3.140403783477808,-91,-84,-7,-0.69,-0.19,-0.49999999999999994
53,41,-20,73,15,-8,24.666666666666668,26.666666666666668,-2.0,31.961782734314987,34.081601422990026,-2.119818688675039,-20,-8,-12,-0.63,0.47,-1.1
62,42,-55,87,12,-44,16.333333333333332,18.333333333333332,-2.0,51.09685791600975,53.667701853370076,-2.5708439373603227,-55,-44,-11,-0.63,0.18,-0.81
73,33,-42,90,13,-33,21.333333333333332,23.333333333333332,-2.0,47.66783215358364,50.743363003341514,-3.0755308497578753,-42,-33,-9,-0.35,0.3,-0.6499999999999999
76,58,-33,96,39,-28,33.666666666666664,35.666666666666664,-2.0,47.70977072070481,50.6776303927307,-2.967859672025888,-33,-28,-5,-0.63,-0.1,-0.53
37,25,-45,61,2,-40,5.666666666666667,7.666666666666667,-2.0,36.160137659521645,41.42731251508143,-5.267174855559787,-45,-40,-5,-0.65,0.2,-0.8500000000000001
74,47,-14,93,25,-5,35.666666666666664,37.666666666666664,-2.0,36.80881536926839,40.99864496405812,-4.189829594789735,-14,-5,-9,-0.43,0.43,-0.86
83,33,-23,98,19,-18,31.0,33.0,-2.0,43.29742101634538,48.38043681765044,-5.083015801305059,-23,-18,-5,-0.07,0.41,-0.48
72,29,-23,89,9,-14,26.0,28.0,-2.0,38.841558499456056,44.14370472294625,-5.30214622349019,-23,-14,-9,-0.12,0.57,-0.69
46,30,-25,72,2,-17,17.0,19.0,-2.0,30.40833219146796,38.27096375408734,-7.862631562619381,-25,-17,-8,-0.56,0.58,-1.1400000000000001
53,48,-17,83,6,-2,28.0,29.0,-1.0,31.88521078284832,38.32318706301274,-6.4379762801644205,-17,-2,-15,-0.69,0.68,-1.37
59,36,-10,86,7,-5,28.333333333333332,29.333333333333332,-1.0,28.686039965266882,40.36775390773626,-11.681713942469376,-10,-5,-5,-0.38,0.66,-1.04
55,54,-18,82,20,-8,30.333333333333332,31.333333333333332,-1.0,34.179265969622904,37.60614606978788,-3.426880100164979,-18,-8,-10,-0.71,0.42,-1.13
57,51,-89,91,14,-83,6.333333333333333,7.333333333333333,-1.0,67.4553350167518,71.19144767612345,-3.736112659371642,-89,-83,-6,-0.7,-0.14,-0.5599999999999999
48,38,-35,68,14,-28,17.0,18.0,-1.0,36.995495221265344,39.293765408777,-2.2982701875116547,-35,-28,-7,-0.67,0.15,-0.8200000000000001
56,48,-19,93,7,-12,28.333333333333332,29.333333333333332,-1.0,33.6286914537109,45.68247901426639,-12.053787560555492,-19,-12,-7,-0.68,0.62,-1.3
43,37,-30,69,8,-24,16.666666666666668,17.666666666666668,-1.0,33.089105289942324,38.57748335781148,-5.4883780678691565,-30,-24,-6,-0.69,0.36,-1.0499999999999998
58,45,-78,88,13,-73,8.333333333333334,9.333333333333334,-1.0,61.27714817849218,65.77909157847111,-4.501943399978927,-78,-73,-5,-0.68,-0.08,-0.6000000000000001
63,35,-11,81,12,-3,29.0,30.0,-1.0,30.506829836393468,36.578682316343766,-6.071852479950298,-11,-3,-8,-0.29,0.62,-0.9099999999999999
61,49,-40,95,4,-26,23.333333333333332,24.333333333333332,-1.0,45.05058884804454,51.44792404838983,-6.397335200345289,-40,-26,-14,-0.67,0.53,-1.2000000000000002
76,43,-14,93,15,-3,35.0,35.0,0.0,37.17526059088221,41.66533331199932,-4.490072721117109,-14,-3,-11,-0.31,0.61,-0.9199999999999999
50,25,-43,67,2,-37,10.666666666666666,10.666666666666666,0.0,39.296593010364425,42.897811391983886,-3.6012183816194607,-43,-37,-6,-0.5,0.29,-0.79
41,22,-9,51,4,-1,18.0,18.0,0.0,20.607442021431645,23.423634787681152,-2.8161927662495074,-9,-1,-8,-0.28,0.68,-0.9600000000000001
74,39,-50,99,3,-39,21.0,21.0,0.0,52.19833969262496,57.758116312774604,-5.559776620149641,-50,-39,-11,-0.48,0.44,-0.9199999999999999
