outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
70,31,-86,95,11,-73,5.0,11.0,-6.0,66.2872536767062,68.58571279792899,-2.298459121222791,-86,-73,-13,-0.53,0.0,-0.53
64,42,-41,86,31,-34,21.666666666666668,27.666666666666668,-6.0,45.21307578811933,49.04646323187387,-3.833387443754539,-41,-34,-7,-0.58,-0.1,-0.48
51,30,-36,86,3,-26,15.0,21.0,-6.0,37.067505985701274,47.462265713582056,-10.394759727880782,-36,-26,-10,-0.54,0.51,-1.05
30,26,-63,61,1,-51,-2.3333333333333335,3.6666666666666665,-6.0,42.92888175679502,45.7626728046147,-2.8337910478196804,-63,-51,-12,-0.7,0.09,-0.7899999999999999
63,20,-54,82,8,-43,9.666666666666666,15.666666666666666,-6.0,48.32068800098865,51.31817958146562,-2.997491580476968,-54,-43,-11,-0.31,0.22,-0.53
65,19,-77,88,4,-67,2.3333333333333335,8.333333333333334,-6.0,59.15704147061071,63.352628639666996,-4.195587169056289,-77,-67,-10,-0.4,0.1,-0.5
62,23,-60,83,13,-53,8.333333333333334,14.333333333333334,-6.0,50.87457343528515,55.529771794556794,-4.655198359271644,-60,-53,-7,-0.41,0.04,-0.44999999999999996
39,31,-73,78,4,-67,-1.0,5.0,-6.0,51.01633725255731,59.200225224796796,-8.18388797223949,-73,-67,-6,-0.69,0.03,-0.72
67,41,-72,98,16,-60,12.0,18.0,-6.0,60.33793720924396,64.51873113032111,-4.180793921077154,-72,-60,-12,-0.61,0.05,-0.66
53,21,-46,81,5,-40,9.333333333333334,15.333333333333334,-6.0,41.24991582482994,49.93551397107629,-8.685598146246349,-46,-40,-6,-0.4,0.3,-0.7
68,33,-67,98,5,-60,11.333333333333334,14.333333333333334,-3.0,57.20334100576838,64.83997395297304,-7.63663294720466,-67,-60,-7,-0.51,0.21,-0.72
60,47,-54,91,10,-39,17.666666666666668,20.666666666666668,-3.0,50.95313751107209,53.6055552676731,-2.652417756601004,-54,-39,-15,-0.67,0.29,-0.96
67,57,-18,94,32,-11,35.333333333333336,38.333333333333336,-3.0,37.93268892247014,43.099368389287974,-5.166679466817833,-18,-11,-7,-0.67,0.22,-0.89
81,37,-34,92,30,-29,28.0,31.0,-3.0,47.37791327893902,49.4031038161234,-2.025190537184379,-34,-29,-5,-0.28,0.03,-0.31000000000000005
47,37,-46,81,2,-36,12.666666666666666,15.666666666666666,-3.0,41.6839963961657,48.73283173476469,-7.048835338598984,-46,-36,-10,-0.68,0.4,-1.08
35,32,-9,57,12,-2,19.333333333333332,22.333333333333332,-3.0,20.07209228976613,25.170529504870487,-5.098437215104358,-9,-2,-7,-0.7,0.55,-1.25
64,42,-58,93,7,-43,16.0,19.0,-3.0,53.09111664550546,56.166419386201454,-3.075302740695996,-58,-43,-15,-0.62,0.31,-0.9299999999999999
50,28,-75,71,11,-70,1.0,4.0,-3.0,54.48547206977899,57.77542730261716,-3.2899552328381674,-75,-70,-5,-0.62,-0.18,-0.44
73,41,-78,95,20,-70,12.0,15.0,-3.0,64.96665811527222,67.45368781616021,-2.4870297008879874,-78,-70,-8,-0.58,-0.11,-0.47
40,37,-23,77,1,-15,18.0,21.0,-3.0,29.017236257093817,40.13311184877976,-11.115875591685946,-23,-15,-8,-0.7,0.62,-1.3199999999999998
53,48,-24,76,19,-18,25.666666666666668,25.666666666666668,0.0,35.178907822096406,38.66379299666406,-3.4848851745676512,-24,-18,-6,-0.7,0.25,-0.95
52,41,-43,77,5,-32,16.666666666666668,16.666666666666668,0.0,42.42902570437156,45.25728916121935,-2.828263456847786,-43,-32,-11,-0.67,0.37,-1.04
55,37,-17,81,5,-11,25.0,25.0,0.0,30.59411708155671,40.13311184877976,-9.538994767223052,-17,-11,-6,-0.53,0.62,-1.15
