outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
68,13,-39,50,33,-29,14.0,18.0,-4.0,43.688289811649376,33.95094500402996,9.737344807619415,-39,-29,-10,0.03,-0.58,0.61
89,11,-64,84,21,-57,12.0,16.0,-4.0,62.465990746965666,57.67148342118486,4.794507325780806,-64,-57,-7,0.02,-0.13,0.15
58,53,-49,64,49,-39,20.666666666666668,24.666666666666668,-4.0,49.30404536028346,45.433712397538265,3.870332962745195,-49,-39,-10,-0.7,-0.65,-0.04999999999999993
41,28,-54,39,30,-42,5.0,9.0,-4.0,42.05551886098502,36.24913792078372,5.806380940201301,-54,-42,-12,-0.66,-0.67,0.010000000000000009
90,60,-57,93,57,-45,31.0,35.0,-4.0,63.419239982831705,58.44655678480983,4.972683198021876,-57,-45,-12,-0.59,-0.51,-0.07999999999999996
48,42,-90,62,25,-75,0.0,4.0,-4.0,63.686733312362634,57.867665121954474,5.81906819040816,-90,-75,-15,-0.7,-0.5,-0.19999999999999996
47,46,-35,56,39,-25,19.333333333333332,23.333333333333332,-4.0,38.421637422450154,34.87437773240151,3.547259690048641,-35,-25,-10,-0.71,-0.58,-0.13
93,39,-65,83,54,-58,22.333333333333332,26.333333333333332,-4.0,65.57099629832962,60.7965642304088,4.77443206792082,-65,-58,-7,-0.36,-0.59,0.22999999999999998
98,3,-99,61,41,-88,0.6666666666666666,4.666666666666667,-4.0,80.44183543958262,66.03197878469358,14.40985665488904,-99,-88,-11,-0.04,-0.66,0.62
90,2,-39,66,24,-25,17.666666666666668,21.666666666666668,-4.0,53.81656085464977,37.1872140511882,16.629346803461573,-39,-25,-14,0.41,-0.09,0.5
88,34,-23,80,40,-12,33.0,36.0,-3.0,45.32107677449864,37.66519171153476,7.655885062963883,-23,-12,-11,-0.03,-0.16,0.13
91,41,-84,74,55,-72,16.0,19.0,-3.0,73.59800721939872,64.81255022498858,8.78545699441014,-84,-72,-12,-0.47,-0.66,0.19000000000000006
85,2,-23,50,39,-16,21.333333333333332,24.333333333333332,-3.0,46.161552063258114,28.87136220470997,17.290189858548143,-23,-16,-7,0.55,-0.63,1.1800000000000002
95,9,-70,57,48,-62,11.333333333333334,14.333333333333334,-3.0,67.38117112533904,54.10072909757214,13.280442027766895,-70,-62,-8,0.05,-0.69,0.74
97,50,-98,85,57,-84,16.333333333333332,19.333333333333332,-3.0,83.0916495336458,73.9564436378302,9.135205895815602,-98,-84,-14,-0.54,-0.63,0.08999999999999997
61,58,-98,60,59,-89,7.0,10.0,-3.0,74.2563128629479,70.00476174280338,4.251551120144512,-98,-89,-9,-0.71,-0.71,0.0
74,38,-98,73,36,-86,4.666666666666667,7.666666666666667,-3.0,74.06903686576614,67.93297350248176,6.136063363284379,-98,-86,-12,-0.58,-0.55,-0.029999999999999916
94,37,-86,75,51,-72,15.0,18.0,-3.0,75.11324783285569,64.389440128021,10.723807704834698,-86,-72,-14,-0.41,-0.63,0.22000000000000003
92,32,-97,91,35,-90,9.0,12.0,-3.0,78.85429601486528,75.66152699137565,3.1927690234896318,-97,-90,-7,-0.41,-0.43,0.020000000000000018
93,64,-22,88,67,-11,45.0,48.0,-3.0,48.83304891839815,42.59107887809371,6.241970040304437,-22,-11,-11,-0.52,-0.58,0.05999999999999994
73,21,-64,55,39,-58,10.0,12.0,-2.0,56.468280181591034,49.926612809869916,6.541667371721118,-64,-58,-6,-0.28,-0.65,0.37
97,65,-45,80,75,-32,39.0,41.0,-2.0,60.81666438293592,51.65913923660233,9.15752514633359,-45,-32,-13,-0.56,-0.7,0.1399999999999999
73,29,-84,62,33,-71,6.0,8.0,-2.0,66.1261420821347,57.10224747474189,9.023894607392819,-84,-71,-13,-0.48,-0.57,0.08999999999999997
87,40,-19,79,44,-9,36.0,38.0,-2.0,43.36665385600631,36.175498153676706,7.191155702329603,-19,-9,-10,-0.14,-0.24,0.09999999999999998
90,17,-81,81,26,-75,8.666666666666666,10.666666666666666,-2.0,70.05870554201114,64.6030615029625,5.455644039048636,-81,-75,-6,-0.18,-0.34,0.16000000000000003
83,22,-74,79,19,-61,10.333333333333334,12.333333333333334,-2.0,64.62369706401996,57.34883511361751,7.274861950402453,-74,-61,-13,-0.26,-0.17,-0.09
81,2,-67,57,25,-60,5.333333333333333,7.333333333333333,-2.0,60.466703417849914,49.37160677510461,11.095096642745304,-67,-60,-7,0.08,-0.49,0.57
62,25,-86,71,12,-76,0.3333333333333333,2.3333333333333335,-2.0,62.88790733431101,60.40051508242477,2.4873922518862415,-86,-76,-10,-0.53,-0.24,-0.29000000000000004
77,2,-26,52,20,-13,17.666666666666668,19.666666666666668,-2.0,43.484352230301056,26.537185649993525,16.94716658030753,-26,-13,-13,0.49,-0.02,0.51
77,9,-20,76,8,-12,22.0,24.0,-2.0,40.65300316909769,37.66519171153476,2.987811457562927,-20,-12,-8,0.45,0.56,-0.11000000000000004
89,16,-41,86,12,-31,21.333333333333332,22.333333333333332,-1.0,53.206098230267635,48.32068800098865,4.885410229278982,-41,-31,-10,0.15,0.31,-0.16
49,5,-23,35,11,-12,10.333333333333334,11.333333333333334,-1.0,29.63481436119049,19.189117286165672,10.445697075024817,-23,-12,-11,0.26,0.03,0.23
82,24,-47,68,30,-36,19.666666666666668,20.666666666666668,-1.0,52.75309364282714,42.967688118192044,9.785405524635095,-47,-36,-11,-0.12,-0.32,0.2
91,38,-63,71,56,-58,22.0,23.0,-1.0,63.88009601328623,57.60208329565867,6.278012717627554,-63,-58,-5,-0.36,-0.67,0.31000000000000005
83,39,-48,82,29,-34,24.666666666666668,25.666666666666668,-1.0,54.43242497711166,47.41542177627678,7.017003200834878,-48,-34,-14,-0.38,-0.11,-0.27
65,60,-94,71,47,-84,10.333333333333334,11.333333333333334,-1.0,73.80304118997324,68.11917661145223,5.6838645785210105,-94,-84,-10,-0.7,-0.64,-0.05999999999999994
68,42,-47,70,37,-41,21.0,22.0,-1.0,49.24090440545001,46.54030511288038,2.7005992925696276,-47,-41,-6,-0.56,-0.45,-0.11000000000000004
62,38,-27,55,43,-22,24.333333333333332,25.333333333333332,-1.0,37.59728122558273,33.8263539599263,3.770927265656425,-27,-22,-5,-0.5,-0.64,0.14
83,46,-96,65,58,-87,11.0,12.0,-1.0,77.15352659902635,70.06187741323141,7.091649185794935,-96,-87,-9,-0.59,-0.7,0.10999999999999999
73,48,-59,77,40,-52,20.666666666666668,21.666666666666668,-1.0,57.249939349798055,54.23610933276424,3.0138300170338184,-59,-52,-7,-0.61,-0.47,-0.14
68,18,-48,54,27,-43,12.666666666666666,12.666666666666666,0.0,47.50672467018631,40.87650778734515,6.630216882841161,-48,-43,-5,-0.17,-0.48,0.30999999999999994
97,32,-49,76,43,-39,26.666666666666668,26.666666666666668,0.0,59.72343668015839,48.3482735529983,11.375163127160093,-49,-39,-10,-0.13,-0.47,0.33999999999999997
65,60,-36,68,44,-23,29.666666666666668,29.666666666666668,0.0,46.4781908234628,38.50829636440554,7.969894459057265,-36,-23,-13,-0.7,-0.51,-0.18999999999999995
94,47,-63,97,32,-51,26.0,26.0,0.0,65.79260343432738,60.569519287069355,5.223084147258021,-63,-51,-12,-0.45,-0.15,-0.30000000000000004
85,17,-32,74,15,-19,23.333333333333332,23.333333333333332,0.0,47.97453027967607,38.42163742245016,9.552892857225906,-32,-19,-13,0.2,0.32,-0.12
51,48,-46,47,40,-34,17.666666666666668,17.666666666666668,0.0,45.03578823804711,36.64544840616484,8.390339831882272,-46,-34,-12,-0.7,-0.69,-0.010000000000000009
72,53,-88,89,21,-73,12.333333333333334,12.333333333333334,0.0,71.36914988673716,66.41954197038365,4.949607916353514,-88,-73,-15,-0.67,-0.19,-0.48000000000000004
77,72,-93,96,40,-80,18.666666666666668,18.666666666666668,0.0,78.9866374071519,73.41813278899309,5.568504618158812,-93,-80,-13,-0.7,-0.41,-0.29
61,18,-74,66,1,-62,1.6666666666666667,1.6666666666666667,0.0,56.31064631922536,52.257907429296175,4.052738889929188,-74,-62,-12,-0.41,0.02,-0.43
89,12,-86,65,23,-73,5.0,5.0,0.0,71.6147098483731,57.758116312774604,13.856593535598492,-86,-73,-13,-0.15,-0.44,0.29000000000000004
94,36,-56,72,44,-42,24.666666666666668,24.666666666666668,0.0,61.759389749431804,48.50658603621666,13.252803713215144,-56,-42,-14,-0.27,-0.53,0.26
54,42,-20,64,21,-9,25.333333333333332,25.333333333333332,0.0,32.42769735204082,29.95923155816176,2.468465793879062,-20,-9,-11,-0.64,0.21,-0.85
36,34,-14,42,18,-4,18.666666666666668,18.666666666666668,0.0,23.113247764479624,18.785337071473826,4.327910693005798,-14,-4,-10,-0.7,0.05,-0.75
67,8,-37,48,13,-23,12.666666666666666,12.666666666666666,0.0,42.58586098173378,28.986586936412884,13.599274045320897,-37,-23,-14,0.16,-0.02,0.18
42,20,-51,32,20,-41,3.6666666666666665,3.6666666666666665,0.0,39.684869772860395,31.961782734314983,7.723087038545412,-51,-41,-10,-0.55,-0.63,0.07999999999999996
93,11,-15,48,43,-2,29.666666666666668,29.666666666666668,0.0,46.02414825091522,22.484562605386735,23.539585645528483,-15,-2,-13,0.54,-0.68,1.2200000000000002
87,68,-96,98,51,-90,19.666666666666668,19.666666666666668,0.0,82.15567877849683,79.88463904628696,2.2710397322098714,-96,-90,-6,-0.68,-0.53,-0.15000000000000002
72,29,-87,61,31,-78,4.666666666666667,4.666666666666667,0.0,67.1532244613433,59.72343668015839,7.429787781184906,-87,-78,-9,-0.5,-0.58,0.07999999999999996
94,56,-59,78,63,-50,30.333333333333332,30.333333333333332,0.0,65.04528337157805,57.13337222869154,7.91191114288651,-59,-50,-9,-0.53,-0.67,0.14
67,30,-69,47,42,-61,9.333333333333334,9.333333333333334,0.0,57.41273571449302,49.775049528408864,7.637686186084153,-69,-61,-8,-0.49,-0.7,0.20999999999999996
