outcome_a1,outcome_a2,outcome_a3,outcome_b1,outcome_b2,outcome_b3,ev_a,ev_b,ev_diff,var_a,var_b,var_diff,loss_a,loss_b,loss_diff,skew_a,skew_b,skew_diff
72,34,-36,60,56,-28,23.333333333333332,29.333333333333332,-6.0,44.731296525910004,40.5736641458745,4.157632380035501,-36,-28,-8,-0.34,-0.7,0.35999999999999993
62,52,-24,66,59,-17,30.0,36.0,-6.0,38.40138886377245,37.58545818087983,0.8159306828926205,-24,-17,-7,-0.67,-0.69,0.019999999999999907
76,11,-32,72,22,-21,18.333333333333332,24.333333333333332,-6.0,44.39469437769438,38.00292386412159,6.391770513572787,-32,-21,-11,0.24,0.09,0.15
99,11,-44,83,35,-34,22.0,28.0,-6.0,58.89538748209971,48.02082881417188,10.874558667927829,-44,-34,-10,0.27,-0.22,0.49
59,21,-55,49,42,-48,8.333333333333334,14.333333333333334,-6.0,47.39432689913659,44.16886786967591,3.22545902946068,-55,-48,-7,-0.38,-0.69,0.30999999999999994
80,7,-13,82,15,-5,24.666666666666668,30.666666666666668,-6.0,39.96943276499625,37.20513704076659,2.7642957242296617,-13,-5,-8,0.58,0.56,0.019999999999999907
81,9,-19,80,20,-11,23.666666666666668,29.666666666666668,-6.0,42.1215173304835,37.77418283548816,4.347334494995337,-19,-11,-8,0.48,0.37,0.10999999999999999
72,22,-38,75,23,-24,18.666666666666668,24.666666666666668,-6.0,44.96912521077348,40.43375927228247,4.535365938491005,-38,-24,-14,-0.11,0.06,-0.16999999999999998
68,65,-28,80,58,-15,35.0,41.0,-6.0,44.56455991031439,40.60377650744653,3.960783402867854,-28,-15,-13,-0.7,-0.55,-0.1499999999999999
42,8,-74,36,26,-68,-8.0,-2.0,-6.0,48.68949236402724,46.847269575362304,1.8422227886649338,-74,-68,-6,-0.46,-0.68,0.22000000000000003
70,46,-91,67,53,-86,8.333333333333334,11.333333333333334,-3.0,70.91935952584143,69.06196895220666,1.857390573634774,-91,-86,-5,-0.65,-0.69,0.039999999999999925
88,56,-40,71,68,-26,34.666666666666664,37.666666666666664,-3.0,54.38954147832304,45.03578823804711,9.353753240275928,-40,-26,-14,-0.53,-0.7,0.16999999999999993
