id,block,trial,outcome_a1,outcome_a2,prob_a1,prob_a2,outcome_b1,outcome_b2,prob_b1,prob_b2,choice,rt
1,1,2,0,0,1,1,18,-12,0.5,0.5,1,1.793
1,1,3,0,0,1,1,10,-15,0.5,0.5,0,1.6369999999999998
1,1,4,0,0,1,1,34,-16,0.5,0.5,1,1.3159999999999998
1,1,5,0,0,1,1,18,-5,0.5,0.5,1,1.67
1,1,6,0,0,1,1,26,-13,0.5,0.5,1,1.232
1,1,7,0,0,1,1,32,-17,0.5,0.5,1,1.5019999999999998
1,1,8,0,0,1,1,16,-5,0.5,0.5,1,1.925
1,1,9,0,0,1,1,22,-7,0.5,0.5,1,1.061
1,1,10,0,0,1,1,36,-8,0.5,0.5,1,1.079
1,1,11,0,0,1,1,16,-10,0.5,0.5,1,1.477
1,1,12,0,0,1,1,30,-13,0.5,0.5,1,1.599
1,1,13,0,0,1,1,14,-17,0.5,0.5,0,1.822
1,1,14,0,0,1,1,28,-19,0.5,0.5,1,1.405
1,1,15,0,0,1,1,14,-20,0.5,0.5,0,1.206
1,1,16,0,0,1,1,26,-16,0.5,0.5,1,1.272
1,1,17,0,0,1,1,40,-5,0.5,0.5,1,0.9
1,1,18,0,0,1,1,28,-12,0.5,0.5,1,1.318
1,1,19,0,0,1,1,20,-16,0.5,0.5,1,1.367
1,1,20,0,0,1,1,26,-5,0.5,0.5,1,1.5659999999999998
1,1,21,0,0,1,1,32,-20,0.5,0.5,1,1.36
1,1,22,0,0,1,1,18,-17,0.5,0.5,0,1.321
1,1,23,0,0,1,1,20,-6,0.5,0.5,1,1.433
1,1,24,0,0,1,1,20,-18,0.5,0.5,0,1.215
1,1,25,0,0,1,1,40,-7,0.5,0.5,1,0.8240000000000001
1,1,26,0,0,1,1,36,-6,0.5,0.5,1,0.903
1,1,27,0,0,1,1,16,-20,0.5,0.5,0,1.047
1,1,28,0,0,1,1,40,-15,0.5,0.5,1,1.169
1,1,29,0,0,1,1,10,-6,0.5,0.5,0,1.137
1,1,30,0,0,1,1,12,-15,0.5,0.5,0,1.082
1,1,31,0,0,1,1,34,-17,0.5,0.5,1,1.096
1,1,32,0,0,1,1,18,-14,0.5,0.5,1,2.2
1,1,33,0,0,1,1,40,-13,0.5,0.5,1,0.7759999999999999
1,1,34,0,0,1,1,32,-19,0.5,0.5,1,1.336
1,1,35,0,0,1,1,14,-12,0.5,0.5,0,1.585
1,1,36,0,0,1,1,32,-10,0.5,0.5,1,1.362
1,1,37,0,0,1,1,36,-17,0.5,0.5,1,1.786
1,1,38,0,0,1,1,28,-13,0.5,0.5,1,1.107
1,1,39,0,0,1,1,34,-13,0.5,0.5,1,1.243
1,1,40,0,0,1,1,38,-14,0.5,0.5,1,1.112
1,1,41,0,0,1,1,32,-11,0.5,0.5,1,1.235
1,1,42,0,0,1,1,32,-9,0.5,0.5,1,0.866
1,1,43,0,0,1,1,30,-16,0.5,0.5,1,1.6269999999999998
1,1,44,0,0,1,1,34,-10,0.5,0.5,1,1
1,1,45,0,0,1,1,18,-8,0.5,0.5,1,1.526
1,1,46,0,0,1,1,34,-20,0.5,0.5,1,1.251
1,1,47,0,0,1,1,32,-16,0.5,0.5,1,2.28
1,1,48,0,0,1,1,24,-12,0.5,0.5,1,1.242
1,1,49,0,0,1,1,38,-12,0.5,0.5,1,1.011
1,1,50,0,0,1,1,38,-10,0.5,0.5,1,1.043
1,1,51,0,0,1,1,24,-7,0.5,0.5,1,1.172
1,1,52,0,0,1,1,16,-13,0.5,0.5,1,1.115
1,1,53,0,0,1,1,36,-19,0.5,0.5,1,1.75
1,1,54,0,0,1,1,32,-5,0.5,0.5,1,0.918
1,1,55,0,0,1,1,34,-9,0.5,0.5,1,0.7340000000000001
1,1,56,0,0,1,1,28,-7,0.5,0.5,1,1.067
1,1,57,0,0,1,1,24,-13,0.5,0.5,1,1.6
1,1,58,0,0,1,1,38,-5,0.5,0.5,1,0.805
1,1,59,0,0,1,1,22,-9,0.5,0.5,1,1.39
1,1,60,0,0,1,1,10,-11,0.5,0.5,0,1.806
1,1,61,0,0,1,1,12,-14,0.5,0.5,0,1.6
1,1,62,0,0,1,1,34,-19,0.5,0.5,1,1.237
1,1,63,0,0,1,1,38,-7,0.5,0.5,1,0.957
1,1,64,0,0,1,1,30,-6,0.5,0.5,1,0.877
1,1,65,0,0,1,1,26,-18,0.5,0.5,1,1.454
1,1,66,0,0,1,1,14,-6,0.5,0.5,1,1.904
1,1,67,0,0,1,1,16,-12,0.5,0.5,1,1.486
1,1,68,0,0,1,1,22,-20,0.5,0.5,0,1.598
1,1,69,0,0,1,1,12,-17,0.5,0.5,0,1.368
1,1,70,0,0,1,1,10,-7,0.5,0.5,1,1.32
1,1,71,0,0,1,1,18,-20,0.5,0.5,0,2.302
1,1,72,0,0,1,1,12,-6,0.5,0.5,1,1.433
1,1,73,0,0,1,1,32,-6,0.5,0.5,1,0.999
1,1,74,0,0,1,1,18,-7,0.5,0.5,1,1.071
1,1,75,0,0,1,1,40,-10,0.5,0.5,1,0.7829999999999999
1,1,76,0,0,1,1,14,-14,0.5,0.5,0,1.6869999999999998
1,1,77,0,0,1,1,30,-19,0.5,0.5,1,1.167
1,1,78,0,0,1,1,24,-18,0.5,0.5,1,1.145
1,1,79,0,0,1,1,10,-12,0.5,0.5,0,1.383
1,1,80,0,0,1,1,40,-19,0.5,0.5,1,0.862
1,1,81,0,0,1,1,24,-9,0.5,0.5,1,0.8340000000000001
1,1,82,0,0,1,1,16,-18,0.5,0.5,0,1.785
1,1,83,0,0,1,1,36,-12,0.5,0.5,1,1.28
1,1,84,0,0,1,1,26,-9,0.5,0.5,1,1.394
1,1,85,0,0,1,1,20,-12,0.5,0.5,1,1.249
1,1,86,0,0,1,1,24,-14,0.5,0.5,1,1.266
1,2,1,0,0,1,1,20,-5,0.5,0.5,1,1.29
1,2,2,0,0,1,1,22,-17,0.5,0.5,1,1.163
1,2,3,0,0,1,1,10,-16,0.5,0.5,0,1.265
1,2,4,0,0,1,1,38,-18,0.5,0.5,1,1.4880000000000002
1,2,5,0,0,1,1,20,-14,0.5,0.5,1,1.446
1,2,6,0,0,1,1,14,-13,0.5,0.5,0,0.998
1,2,7,0,0,1,1,40,-8,0.5,0.5,1,0.7809999999999999
1,2,8,0,0,1,1,32,-18,0.5,0.5,1,1.189
1,2,9,0,0,1,1,24,-8,0.5,0.5,1,1.189
1,2,10,0,0,1,1,36,-14,0.5,0.5,1,1.102
1,2,11,0,0,1,1,28,-6,0.5,0.5,1,0.863
1,2,12,0,0,1,1,16,-14,0.5,0.5,1,1.981
1,2,13,0,0,1,1,14,-9,0.5,0.5,1,1.031
