model,variable,median,ci_lower,ci_upper,rhat,ess_bulk,ess_tail
Loss aversion,lambda_group_location,2.04,1.67,2.45,1,1315.26,1873.49
Loss aversion,tau_group_location,0.67,0.45,0.96,1,1278.91,1748.14
Mean-SD,kappa_group_location,0.32,0.23,0.41,1,1175.76,2147.26
Mean-SD,lambda_implied_group_location,1.95,1.58,2.42,1,1175.76,2147.26
Mean-SD,tau_group_location,0.96,0.74,1.23,1,2138.46,3291.09
Mean-SD,tau_lambda_implied_group_location,0.65,0.49,0.86,1,1765.29,2763.45
Mean-variance,beta_variance_group_location,0.01,0.01,0.02,1,1020.41,1831.91
Mean-variance,tau_group_location,0.79,0.58,1.09,1,1363.63,2327.64
Shifted curvature,alpha_group_location,0.43,0.3,0.59,1,1820.9,2723.25
Shifted curvature,tau_group_location,6.33,3.98,8.62,1,2151.48,3065.71
